idstudy,id,estimate,lowerbound,upperbound,se_low,se_up,se_lowse_up,publicationyear,asa,solarirradianceforcing,cloud,ozonforcing,volcanicforcing,icesheet,numberofmodelsineachensemble,ratingofsource,dumm_mean,dumm_median,modelling,median,m,mean,bestestimate,b,mod,dummmod
12,26,2.6,1.4,6.1,0.729,2.128,0.343,2006,1,1,0,1,1,0,1,271,0,1,1,2.6,1,,,0,,0
12,27,3.4,1.2,8.6,1.337,3.161,0.423,2006,1,1,0,1,1,0,1,271,0,1,1,3.4,1,,,0,,0
13,28,3.4,2.9,4.0,0.304,0.365,0.833,2011,1,1,1,1,0,0,8,2,0,1,0,3.4,1,,3.4,0,,0
13,29,4.0,2.6,5.4,0.851,0.851,1.0,2011,1,1,1,1,0,1,2,2,1,0,0,3.8,1,4.0,,0,,0
13,30,3.6,1.7,6.5,1.155,1.763,0.655,2011,1,1,1,1,0,0,12,2,1,0,0,,0,3.6,,0,,0
13,31,1.8,1.3,2.3,0.304,0.304,1.0,2011,1,1,1,1,0,0,12,2,1,0,0,,0,1.8,,0,,0
13,32,3.3,2.2,5.1,0.669,1.094,0.611,2011,1,1,1,1,0,0,12,2,0,1,0,3.3,1,,,0,,0
14,33,2.2,1.7,2.6,0.524,0.419,1.25,2011,0,1,0,1,0,1,1,86,1,0,1,2.3,1,2.2,,0,,0
14,34,2.2,1.4,2.8,0.838,0.628,1.333,2011,0,1,0,1,0,1,1,86,1,0,1,2.3,1,2.2,,0,,0
14,35,2.1,1.3,2.7,0.486,0.365,1.333,2011,0,1,0,1,0,1,1,86,1,0,1,2.2,1,2.1,,0,,0
14,36,3.4,2.2,4.6,0.729,0.729,1.0,2011,0,1,0,1,0,1,1,86,1,0,1,3.4,1,3.4,,0,,0
15,37,0.7,0.6,1.0,0.061,0.182,0.333,2011,0,1,0,1,0,0,1,54,1,0,0,,0,0.7,,0,,0
15,38,8.1,1.6,,3.951,,,2011,0,0,0,0,0,0,1,54,1,0,0,,0,0.7,,0,,0
15,39,1.7,0.9,8.0,0.486,3.83,0.127,2011,0,0,0,0,0,0,1,54,1,0,0,,0,8.1,,0,,0
15,40,7.9,2.2,,3.465,,,2011,0,0,0,0,0,0,1,54,1,0,0,,0,1.7,,0,,0
15,41,2.2,1.1,,0.669,,,2011,0,0,0,0,0,0,1,54,1,0,0,,0,7.9,,0,,0
15,42,2.5,1.5,8.7,0.608,3.769,0.161,2011,0,0,0,0,0,0,1,54,1,0,0,,0,2.2,,0,,0
15,43,2.7,1.3,,0.851,,,2011,0,0,0,0,0,0,1,54,1,0,0,,0,2.5,,0,,0
15,44,10.4,2.1,,5.046,,,2011,0,0,0,0,0,0,1,54,1,0,0,,0,2.7,,0,,0
15,45,2.2,1.3,6.4,0.547,2.553,0.214,2011,0,0,0,0,0,0,1,54,1,0,0,,0,10.4,,0,,0
15,46,2.4,1.3,14.7,0.669,7.477,0.089,2011,0,0,0,0,0,0,1,54,1,0,0,,0,2.2,,0,,0
15,47,1.7,1.0,8.8,0.426,4.316,0.099,2011,0,0,0,0,0,0,1,54,1,0,0,,0,2.4,,0,,0
16,48,1.35,0.9,2.0,0.274,0.395,0.692,2013,1,1,0,1,1,0,1,18,1,0,1,,0,1.7,,0,,0
