paper,idstudy,pub_year,pub_year_dif,published,top,cite_google,lnycite,idcoeff,frisch,se,ftest,no_obs,est_per_study,byproduct,start,end,timespan,ln_timespan,daily,monthly,quarterly,annual,biannual,female,male,malefemale,married,single,wealth,industry,indivlab,usa,pooled_crosec,panel,macro,micro,quasi_exp,empr,ols,probit,nonpar_sim,2sls_iv,quantile,prime,nearretirement,ratio_wage,margin,source_member,tstat,lnpubyear,ols_mle,other,source_study_id
Bianchi et al. (2001),5,2001.0,17.0,1,1,74,1.16857087727502,24,0.52,0.22,,3163.0,27,0,1986,1988,3,1.0986122886681098,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0,1,0,0,1,1,1,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,5
Bianchi et al. (2001),5,2001.0,17.0,1,1,74,1.16857087727502,25,-0.15,0.1,,422.0,27,0,1986,1988,3,1.0986122886681098,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0,1,0,0,1,1,1,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,5
Bianchi et al. (2001),5,2001.0,17.0,1,1,74,1.16857087727502,26,-0.28,0.18,,46.0,27,0,1986,1988,3,1.0986122886681098,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0,1,0,0,1,1,1,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,5
Bianchi et al. (2001),5,2001.0,17.0,1,1,74,1.16857087727502,27,0.42,0.07,,9274.0,27,0,1986,1988,3,1.0986122886681098,0,0,0,1,0,0,0,1,0,0,0.0,0,0,0,1,0,0,1,1,1,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,5
Card & Hyslop (2005),6,2005.0,21.0,1,1,300,2.7593434954897607,1,0.38,0.03,,4757.0,1,1,1992,1995,4,1.3862943611198906,0,0,0,1,0,1,0,0,0,1,0.0,0,0,0,0,1,0,1,1,1,1.0,0.0,0,0,0.0,0,0,1,extensive,data_extensive.xlsx,,,,,6
Chang & Kim (2006),7,2006.0,22.0,1,0,340,2.9385738597140425,1,0.41,,,1500000.0,10,0,1979,1992,14,2.6390573296152584,0,0,0,1,0,0,1,0,0,0,0.0,0,0,1,0,1,0,1,0,0,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,7
Chang & Kim (2006),7,2006.0,22.0,1,0,340,2.9385738597140425,2,0.45,,,1500000.0,10,0,1979,1992,14,2.6390573296152584,0,0,0,1,0,0,1,0,0,0,0.0,0,0,1,0,1,0,1,0,0,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,7
Chang & Kim (2006),7,2006.0,22.0,1,0,340,2.9385738597140425,3,0.78,,,1500000.0,10,0,1979,1992,14,2.6390573296152584,0,0,0,1,0,1,0,0,0,0,0.0,0,0,1,0,1,0,1,0,0,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,7
Chang & Kim (2006),7,2006.0,22.0,1,0,340,2.9385738597140425,4,0.89,,,1500000.0,10,0,1979,1992,14,2.6390573296152584,0,0,0,1,0,1,0,0,0,0,0.0,0,0,1,0,1,0,1,0,0,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,7
Chang & Kim (2006),7,2006.0,22.0,1,0,340,2.9385738597140425,5,1.08,,,3000.0,10,0,1979,1992,14,2.6390573296152584,0,0,1,0,0,0,0,1,0,0,0.0,0,0,1,0,0,1,0,0,0,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,7
Chang & Kim (2006),7,2006.0,22.0,1,0,340,2.9385738597140425,6,1.15,,,3000.0,10,0,1979,1992,14,2.6390573296152584,0,0,1,0,0,0,0,1,0,0,0.0,0,0,1,0,0,1,0,0,0,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,7
Chang & Kim (2006),7,2006.0,22.0,1,0,340,2.9385738597140425,7,0.46,,,1500000.0,10,0,1979,1992,14,2.6390573296152584,0,0,0,1,0,0,1,0,0,0,0.0,0,0,1,0,0,1,0,0,0,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,7
Chang & Kim (2006),7,2006.0,22.0,1,0,340,2.9385738597140425,8,0.5,,,1500000.0,10,0,1979,1992,14,2.6390573296152584,0,0,0,1,0,0,1,0,0,0,0.0,0,0,1,0,0,1,0,0,0,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,7
Chang & Kim (2006),7,2006.0,22.0,1,0,340,2.9385738597140425,9,0.93,,,1500000.0,10,0,1979,1992,14,2.6390573296152584,0,0,0,1,0,1,0,0,0,0,0.0,0,0,1,0,0,1,0,0,0,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,7
Chang & Kim (2006),7,2006.0,22.0,1,0,340,2.9385738597140425,10,1.09,,,1500000.0,10,0,1979,1992,14,2.6390573296152584,0,0,0,1,0,1,0,0,0,0,0.0,0,0,1,0,0,1,0,0,0,1.0,0.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,7
Looney & Singhal (2006),8,2006.0,22.0,0,0,44,0.8938178760220965,1,0.251,0.192,,1708.0,6,0,1990,1996,7,1.9459101490553132,0,1,0,0,0,1,0,0,1,0,0.0,0,0,1,0,1,0,1,0,1,1.0,0.0,0,0,0.0,0,0,1,extensive,data_extensive.xlsx,,,,,8
Looney & Singhal (2006),8,2006.0,22.0,0,0,44,0.8938178760220965,2,-0.202,0.125,,1930.0,6,0,1990,1996,7,1.9459101490553132,0,1,0,0,0,0,1,0,1,0,0.0,0,0,1,0,1,0,1,0,1,1.0,0.0,0,0,0.0,0,0,1,extensive,data_extensive.xlsx,,,,,8
Kuroda & Yamamoto (2008),9,2008.0,24.0,1,0,88,1.7047480922384253,1,0.48000000000000004,,,705.0,6,1,1999,2001,3,1.0986122886681098,0,0,0,1,0,0,0,1,0,0,0.0,0,0,0,1,0,1,0,0,0,1.0,0.0,0,0,0.0,0,0,1,extensive,data_extensive.xlsx,,,,,9
Kuroda & Yamamoto (2008),9,2008.0,24.0,1,0,88,1.7047480922384253,2,0.03999999999999998,,,705.0,6,1,1999,2001,3,1.0986122886681098,0,0,0,1,0,0,1,0,0,0,0.0,0,0,0,1,0,1,0,0,0,1.0,0.0,0,0,0.0,0,0,1,extensive,data_extensive.xlsx,,,,,9
Kuroda & Yamamoto (2008),9,2008.0,24.0,1,0,88,1.7047480922384253,3,1.43,,,705.0,6,1,1999,2001,3,1.0986122886681098,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,1.0,0.0,0,0,0.0,0,0,1,extensive,data_extensive.xlsx,,,,,9
Kuroda & Yamamoto (2008),9,2008.0,24.0,1,0,88,1.7047480922384253,4,0.87,,,4653.0,6,1,1992,2001,10,2.302585092994046,0,0,0,1,0,0,0,1,0,0,0.0,0,0,0,1,0,1,0,0,0,1.0,0.0,0,0,0.0,0,0,1,extensive,data_extensive.xlsx,,,,,9
Kuroda & Yamamoto (2008),9,2008.0,24.0,1,0,88,1.7047480922384253,5,0.5499999999999999,,,4653.0,6,1,1992,2001,10,2.302585092994046,0,0,0,1,0,0,1,0,0,0,0.0,0,0,0,1,0,1,0,0,0,1.0,0.0,0,0,0.0,0,0,1,extensive,data_extensive.xlsx,,,,,9
Kuroda & Yamamoto (2008),9,2008.0,24.0,1,0,88,1.7047480922384253,6,1.13,,,4653.0,6,1,1992,2001,10,2.302585092994046,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,1.0,0.0,0,0,0.0,0,0,1,extensive,data_extensive.xlsx,,,,,9
Gourio & Noual (2009),10,2009.0,25.0,0,0,46,1.120591195386885,1,1.27,,,795539.0,6,0,1979,1992,14,2.6390573296152584,0,1,0,0,0,0,0,1,0,0,0.0,0,1,1,0,1,1,0,0,1,0.0,1.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,10
Gourio & Noual (2009),10,2009.0,25.0,0,0,46,1.120591195386885,2,2.2,,,795539.0,6,0,1979,1992,14,2.6390573296152584,0,1,0,0,0,0,0,1,0,0,1.0,0,1,1,0,1,1,0,0,1,0.0,1.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,10
Gourio & Noual (2009),10,2009.0,25.0,0,0,46,1.120591195386885,3,8.73,,,795539.0,6,0,1979,1992,14,2.6390573296152584,0,1,0,0,0,0,0,1,0,0,0.0,0,1,1,0,1,1,0,0,1,0.0,1.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,10
Gourio & Noual (2009),10,2009.0,25.0,0,0,46,1.120591195386885,4,1.56,,,795539.0,6,0,1979,1992,14,2.6390573296152584,0,1,0,0,0,0,0,1,0,0,0.0,0,1,1,0,1,1,0,0,1,0.0,1.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,10
Gourio & Noual (2009),10,2009.0,25.0,0,0,46,1.120591195386885,5,1.05,,,795539.0,6,0,1979,1992,14,2.6390573296152584,0,1,0,0,0,0,0,1,0,0,1.0,0,1,1,0,1,1,0,0,1,0.0,1.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,10
Gourio & Noual (2009),10,2009.0,25.0,0,0,46,1.120591195386885,6,2.26,,,795539.0,6,0,1979,1992,14,2.6390573296152584,0,1,0,0,0,0,0,1,0,0,1.0,0,1,1,0,1,1,0,0,1,0.0,1.0,0,0,0.0,0,0,0,extensive,data_extensive.xlsx,,,,,10
Manoli & Weber (2011),11,2011.0,27.0,0,0,240,2.9156895658804545,1,0.0513,0.0032,,61999.0,36,0,1997,2005,9,2.1972245773362196,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,1,0,1,1,1,0.0,0.0,1,0,0.0,0,1,1,extensive,data_extensive.xlsx,,,,,11
Manoli & Weber (2011),11,2011.0,27.0,0,0,240,2.9156895658804545,2,0.0849,0.0045,,61999.0,36,0,1997,2005,9,2.1972245773362196,0,0,1,0,0,0,0,1,0,0,0.0,0,0,0,0,1,0,1,1,1,0.0,0.0,1,0,0.0,0,1,1,extensive,data_extensive.xlsx,,,,,11
Manoli & Weber (2011),11,2011.0,27.0,0,0,240,2.9156895658804545,3,0.1637,0.0102,,61999.0,36,0,1997,2005,9,2.1972245773362196,0,0,0,1,0,0,0,1,0,0,0.0,0,0,0,0,1,0,1,1,1,0.0,0.0,1,0,0.0,0,1,1,extensive,data_extensive.xlsx,,,,,11
Manoli & Weber (2011),11,2011.0,27.0,0,0,240,2.9156895658804545,4,0.1337,0.0045,,44900.0,36,0,1997,2005,9,2.1972245773362196,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,1,0,1,1,1,0.0,0.0,1,0,0.0,0,1,1,extensive,data_extensive.xlsx,,,,,11
Manoli & Weber (2011),11,2011.0,27.0,0,0,240,2.9156895658804545,5,0.2065,0.0086,,44900.0,36,0,1997,2005,9,2.1972245773362196,0,0,1,0,0,0,0,1,0,0,0.0,0,0,0,0,1,0,1,1,1,0.0,0.0,1,0,0.0,0,1,1,extensive,data_extensive.xlsx,,,,,11
Manoli & Weber (2011),11,2011.0,27.0,0,0,240,2.9156895658804545,6,0.3821,0.0249,,44900.0,36,0,1997,2005,9,2.1972245773362196,0,0,0,1,0,0,0,1,0,0,0.0,0,0,0,0,1,0,1,1,1,0.0,0.0,1,0,0.0,0,1,1,extensive,data_extensive.xlsx,,,,,11
Manoli & Weber (2011),11,2011.0,27.0,0,0,240,2.9156895658804545,7,0.083,0.0042,,32607.0,36,0,1997,2005,9,2.1972245773362196,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,1,0,1,1,1,0.0,0.0,1,0,0.0,0,1,1,extensive,data_extensive.xlsx,,,,,11
Manoli & Weber (2011),11,2011.0,27.0,0,0,240,2.9156895658804545,8,0.1473,0.0083,,32607.0,36,0,1997,2005,9,2.1972245773362196,0,0,1,0,0,0,0,1,0,0,0.0,0,0,0,0,1,0,1,1,1,0.0,0.0,1,0,0.0,0,1,1,extensive,data_extensive.xlsx,,,,,11
Manoli & Weber (2011),11,2011.0,27.0,0,0,240,2.9156895658804545,9,0.3136,0.0218,,32607.0,36,0,1997,2005,9,2.1972245773362196,0,0,0,1,0,0,0,1,0,0,0.0,0,0,0,0,1,0,1,1,1,0.0,0.0,1,0,0.0,0,1,1,extensive,data_extensive.xlsx,,,,,11
Manoli & Weber (2011),11,2011.0,27.0,0,0,240,2.9156895658804545,10,0.0744,0.0077,,15777.0,36,0,1997,2005,9,2.1972245773362196,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0,0,1,0,1,1,1,0.0,0.0,1,0,0.0,0,1,1,extensive,data_extensive.xlsx,,,,,11
Manoli & Weber (2011),11,2011.0,27.0,0,0,240,2.9156895658804545,11,0.1219,0.0146,,15777.0,36,0,1997,2005,9,2.1972245773362196,0,0,1,0,0,0,0,1,0,0,0.0,0,0,0,0,1,0,1,1,1,0.0,0.0,1,0,0.0,0,1,1,extensive,data_extensive.xlsx,,,,,11
Manoli & Weber (2011),11,2011.0,27.0,0,0,240,2.9156895658804545,12,0.2672,0.0436,,15777.0,36,0,1997,2005,9,2.1972245773362196,0,0,0,1,0,0,0,1,0,0,0.0,0,0,0,0,1,0,1,1,1,0.0,0.0,1,0,0.0,0,1,1,extensive,data_extensive.xlsx,,,,,11
Manoli & Weber (2011),11,2011.0,27.0,0,0,240,2.9156895658804545,13,0.0861,0.0064,,26781.0,36,0,1997,2005,9,2.1972245773362196,0,0,0,1,0,0,1,0,0,0,0.0,0,0,0,0,1,0,1,1,1,0.0,0.0,1,0,0.0,0,1,1,extensive,data_extensive.xlsx,,,,,11
Manoli & Weber (2011),11,2011.0,27.0,0,0,240,2.9156895658804545,14,0.1802,0.017,,18377.0,36,0,1997,2005,9,2.1972245773362196,0,0,0,1,0,0,1,0,0,0,0.0,0,0,0,0,1,0,1,1,1,0.0,0.0,1,0,0.0,0,1,1,extensive,data_extensive.xlsx,,,,,11
Manoli & Weber (2011),11,2011.0,27.0,0,0,240,2.9156895658804545,15,0.1761,0.0149,,13799.0,36,0,1997,2005,9,2.1972245773362196,0,0,0,1,0,0,1,0,0,0,0.0,0,0,0,0,1,0,1,1,1,0.0,0.0,1,0,0.0,0,1,1,extensive,data_extensive.xlsx,,,,,11
Manoli & Weber (2011),11,2011.0,27.0,0,0,240,2.9156895658804545,16,0.2216,0.0301,,8289.0,36,0,1997,2005,9,2.1972245773362196,0,0,0,1,0,0,1,0,0,0,0.0,0,0,0,0,1,0,1,1,1,0.0,0.0,1,0,0.0,0,1,1,extensive,data_extensive.xlsx,,,,,11
Manoli & Weber (2011),11,2011.0,27.0,0,0,240,2.9156895658804545,17,0.1292,0.0103,,26781.0,36,0,1997,2005,9,2.1972245773362196,0,0,0,1,0,0,1,0,0,0,0.0,0,0,0,0,1,0,1,1,1,0.0,0.0,1,0,0.0,0,1,1,extensive,data_extensive.xlsx,,,,,11
Manoli & Weber (2011),11,2011.0,27.0,0,0,240,2.9156895658804545,18,0.2229,0.0287,,18377.0,36,0,1997,2005,9,2.1972245773362196,0,0,0,1,0,0,1,0,0,0,0.0,0,0,0,0,1,0,1,1,1,0.0,0.0,1,0,0.0,0,1,1,extensive,data_extensive.xlsx,,,,,11
Manoli & Weber (2011),11,2011.0,27.0,0,0,240,2.9156895658804545,19,0.1784,0.0235,,13799.0,36,0,1997,2005,9,2.1972245773362196,0,0,0,1,0,0,1,0,0,0,0.0,0,0,0,0,1,0,1,1,1,0.0,0.0,1,0,0.0,0,1,1,extensive,data_extensive.xlsx,,,,,11
