author,pubyear,country,idcountry,idstudy,invse_w,tstats_w,armel,se,invse,tstats,nobs,nobs_long,nobs_short,armel_w,se_w,se_lrun,srun,lrun,sicdata,sicres,mon,quart,annu,pan,ts,cross,length,ltotal,lmidyear,prim,sec,ter,deving,deved,lmsize,tariffs,ntb,volatility,pride,internet,armx,darmx,army,ecmyx,asp,othmod,ols,corc,tsls,gmm,othest,imcon,seas,impact,lcit,pblshd,all,ag,min,man,util,cons,trad,trans,fin,serv,total,midyear,cit,msize,quality,peer_review,preffered,indifferent,not-preffered
Alaouze (1977),1977,Australia,2,1,0.7867821,-0.049,-0.0623,1.271,0.78678206,-0.049,68,68,0,-0.0623,1.271,1.271,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,0,1
Alaouze (1977),1977,Australia,2,1,1.273885,0.9435,0.7402,0.785,1.2738854,0.9435,68,68,0,0.7402,0.785,0.785,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,2.967359,3.1715,1.07,0.337,2.9673591,3.1715,68,68,0,1.07,0.337,0.337,0,1,4,4,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,2.475248,0.14365,0.058,0.404,2.4752475,0.14365,68,68,0,0.058,0.404,0.404,0,1,4,4,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,1.623377,3.3825,2.085,0.616,1.6233766,3.3825,68,68,0,2.085,0.616,0.616,0,1,4,4,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,0.6090134,2.669,4.382,1.642,0.6090134,2.669,68,68,0,4.382,1.642,1.642,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,2.132196,3.393,1.591,0.469,2.1321962,3.393,68,68,0,1.591,0.469,0.469,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,0.8361204,1.3155,1.573,1.196,0.8361204,1.3155,68,68,0,1.573,1.196,1.196,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,1.231527,1.026,0.8332,0.812,1.2315271,1.026,68,68,0,0.8332,0.812,0.812,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,2.55102,2.9605,1.161,0.392,2.5510204,2.9605,68,68,0,1.161,0.392,0.392,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,1.257862,1.093,0.8685,0.795,1.2578616,1.093,68,68,0,0.8685,0.795,0.795,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,0.9354537,1.2905,1.379,1.069,0.9354537,1.2905,68,68,0,1.379,1.069,1.069,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,3.278688,3.878,1.183,0.305,3.2786885,3.878,68,68,0,1.183,0.305,0.305,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,1.31406,2.5045,1.906,0.761,1.3140604,2.5045,68,68,0,1.906,0.761,0.761,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,0.8795075,-1.2615,-1.434,1.137,0.87950748,-1.2615,68,68,0,-0.996,1.137,1.137,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,0,1
Alaouze (1977),1977,Australia,2,1,2.688172,2.12,0.7895,0.372,2.688172,2.12,68,68,0,0.7895,0.372,0.372,0,1,6,6,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,5.0,4.104,0.8195,0.2,5.0,4.104,68,68,0,0.8195,0.2,0.2,0,1,6,6,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,1.029866,1.4495,1.408,0.971,1.0298661,1.4495,68,68,0,1.408,0.971,0.971,0,1,6,6,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,1.55521,0.3762,0.2418,0.643,1.55521,0.3762,68,68,0,0.2418,0.643,0.643,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,1.490313,1.17,0.7847,0.671,1.490313,1.17,68,68,0,0.7847,0.671,0.671,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,1.879699,3.9825,2.117,0.532,1.8796992,3.9825,68,68,0,2.117,0.532,0.532,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,1.162791,1.8905,1.625,0.86,1.1627907,1.8905,68,68,0,1.625,0.86,0.86,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,1.094092,1.0585,0.9679,0.914,1.0940919,1.0585,68,68,0,0.9679,0.914,0.914,0,1,6,6,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,3.164557,4.746,1.498,0.316,3.164557,4.746,68,68,0,1.498,0.316,0.316,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,1.851852,3.07,1.657,0.54,1.8518519,3.07,68,68,0,1.657,0.54,0.54,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,8.333333,1.627,0.1959,0.12,8.3333333,1.627,68,68,0,0.1959,0.12,0.12,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,1.349528,2.73,2.023,0.741,1.3495277,2.73,68,68,0,2.023,0.741,0.741,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,2.564103,1.028,0.4014,0.39,2.5641026,1.028,68,68,0,0.4014,0.39,0.39,0,1,4,4,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,2.024292,0.04065,0.0201,0.494,2.0242915,0.04065,68,68,0,0.0201,0.494,0.494,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,2.583979,2.4745,0.9581,0.387,2.5839793,2.4745,68,68,0,0.9581,0.387,0.387,0,1,4,4,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,1.367989,2.125,1.553,0.731,1.3679891,2.125,68,68,0,1.553,0.731,0.731,0,1,4,4,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,1.242236,-0.0862,-0.0694,0.805,1.242236,-0.0862,68,68,0,-0.0694,0.805,0.805,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,0,1
Alaouze (1977),1977,Australia,2,1,0.9124088,-0.6605,-0.7238,1.096,0.91240876,-0.6605,68,68,0,-0.7238,1.096,1.096,0,1,4,4,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,0,1
Alaouze (1977),1977,Australia,2,1,2.03666,5.33,2.616,0.491,2.0366599,5.33,68,68,0,2.616,0.491,0.491,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,1.801802,1.8425,1.022,0.555,1.8018018,1.8425,68,68,0,1.022,0.555,0.555,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,9.090909,-0.872,-0.0957,0.11,9.0909091,-0.872,68,68,0,-0.0957,0.11,0.11,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,0,1
Alaouze (1977),1977,Australia,2,1,2.217295,2.9295,1.322,0.451,2.2172949,2.9295,68,68,0,1.322,0.451,0.451,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,1.474926,-0.12365,-0.0838,0.678,1.4749263,-0.12365,68,68,0,-0.0838,0.678,0.678,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,0,1
Alaouze (1977),1977,Australia,2,1,1.808318,-0.0651,-0.036,0.553,1.8083183,-0.0651,68,68,0,-0.036,0.553,0.553,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,0,1
Alaouze (1977),1977,Australia,2,1,1.215067,0.759,0.6248,0.823,1.2150668,0.759,68,68,0,0.6248,0.823,0.823,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,11.49425,11.575,1.005,0.087,11.494253,11.575,68,68,0,1.005,0.087,0.087,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,6.289308,8.09,1.29,0.159,6.2893082,8.09,68,68,0,1.29,0.159,0.159,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,1.196172,-1.0345,-0.8647,0.836,1.1961722,-1.0345,68,68,0,-0.8647,0.836,0.836,0,1,4,4,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,0,1
Alaouze (1977),1977,Australia,2,1,1.082251,0.6055,0.5595,0.924,1.0822511,0.6055,68,68,0,0.5595,0.924,0.924,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,0.5216484,1.0505,2.014,1.917,0.52164841,1.0505,68,68,0,2.014,1.917,1.917,0,1,6,6,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,1.626016,0.2708,0.1666,0.615,1.6260163,0.2708,68,68,0,0.1666,0.615,0.615,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,3.030303,2.4735,0.8169,0.33,3.030303,2.4735,68,68,0,0.8169,0.33,0.33,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,1.677852,-0.3289,-0.1961,0.596,1.6778523,-0.3289,68,68,0,-0.1961,0.596,0.596,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,0,1
Alaouze (1977),1977,Australia,2,1,1.776199,2.2965,1.293,0.563,1.7761989,2.2965,68,68,0,1.293,0.563,0.563,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,1.008065,0.41285,0.4097,0.992,1.0080645,0.41285,68,68,0,0.4097,0.992,0.992,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,1.855288,2.4595,1.325,0.539,1.8552876,2.4595,68,68,0,1.325,0.539,0.539,0,1,4,4,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
Alaouze (1977),1977,Australia,2,1,1.277139,0.892,0.6988,0.783,1.2771392,0.892,68,68,0,0.6988,0.783,0.783,0,1,5,5,0,1,0,0,1,0,7,3.332205,3.0,0,1,0,0,1,5.098707,18.56,1.12,0.0,0.6835115,0.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.6805684,0,0,0,0,1,0,0,0,0,0,0,28,1971.0,81,162.81,0,0,0,1,0
