idstudy,study,local,cs,aggr,idcoeff,table,forw,horiz,aux,more,comb,lag,square,orige,origse,t,lin,loglog,diff,ldiff,mean1,mean2,e,se,country,amad,balan,nobs,start,end,bothbf,bothvh,yearfe,sectfe,tgap,rd,scomp,cycl,allfirm,green,ma,nat,serv,auto,food,electro,text,empl,asset,translog,output,va,lp,pols,rand,gmm,ols,op,realpart,forpart,nace,io,check,comment,idcountry,dist,sim,gap,open,human,findev,incent,gp00,gp95,JCRimp,eigen,SJRimp,repimp,JCRcit,scocit,schcit,repcit,pub,native,citeaut,affusa,affacad,affinter,pubdate,idauthor,last,eb,seb,ef,sef,eh,seh
1,Atallah Murra (2006),0,0,0,19,7,0,0,0,0,0,0,0,3.203,1.138,2.8145869947275926,0,0,0,0,,,3.203,1.138,Colombia,0,0,6153,1995,2000,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,2.0,0,ok,,27,6087.6697180181845,0.49888988740286516,27405.509570225127,36.1492805480957,21.961919904422,33.5509706712083,3.9264705882352944,3.591666666666667,2.7416666666666667,0.0,0.0,0.0,0.003,0,0,2,1,1,1,0,0,0,0,2006.2083333333333,1,0,1.281,0.13192584963954684,0.848,0.05062686567164179,-0.023,0.07931034482758621
1,Atallah Murra (2006),0,0,0,20,7,1,0,0,0,0,0,0,-0.044,0.892,-0.04932735426008968,0,0,0,0,,,-0.044,0.892,Colombia,0,0,6153,1995,2000,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,2.0,0,ok,,27,6087.6697180181845,0.49888988740286516,27405.509570225127,36.1492805480957,21.961919904422,33.5509706712083,3.9264705882352944,3.591666666666667,2.7416666666666667,0.0,0.0,0.0,0.003,0,0,2,1,1,1,0,0,0,0,2006.2083333333333,1,1,1.281,0.13192584963954684,0.848,0.05062686567164179,-0.023,0.07931034482758621
2,Békés et al. (2009),0,0,0,1,5,0,1,0,0,0,0,0,0.0411,0.01705394190871369,2.41,0,0,0,0,,,0.0411,0.01705394190871369,Hungary,0,0,66470,1992,2003,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,2.0,0,ok,region-specific measures for spillovers,56,2328.6448873577306,0.13678408563184702,20532.63476892645,131.373123168945,33.2152439872511,26.0566319545451,8.040816326530612,4.041666666666666,4.041666666666666,1.294,0.00562,0.95,0.134,0,0,6,1,1,1,97,0,1,0,2009.7916666666667,2,0,0.03,0.061224489795918366,0.034,0.017171717171717175,0.04,0.0106951871657754
2,Békés et al. (2009),0,0,0,2,5,0,0,0,0,0,0,0,-0.0047,0.047,-0.1,0,0,0,0,,,-0.0047,0.047,Hungary,0,0,66470,1992,2003,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,2.0,0,ok,region-specific measures for spillovers,56,2328.6448873577306,0.13678408563184702,20532.63476892645,131.373123168945,33.2152439872511,26.0566319545451,8.040816326530612,4.041666666666666,4.041666666666666,1.294,0.00562,0.95,0.134,0,0,6,1,1,1,97,0,1,0,2009.7916666666667,2,0,0.03,0.061224489795918366,0.034,0.017171717171717175,0.04,0.0106951871657754
2,Békés et al. (2009),0,0,0,3,5,1,0,0,0,0,0,0,0.0392,0.028405797101449276,1.38,0,0,0,0,,,0.0392,0.028405797101449276,Hungary,0,0,66470,1992,2003,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,2.0,0,ok,region-specific measures for spillovers,56,2328.6448873577306,0.13678408563184702,20532.63476892645,131.373123168945,33.2152439872511,26.0566319545451,8.040816326530612,4.041666666666666,4.041666666666666,1.294,0.00562,0.95,0.134,0,0,6,1,1,1,97,0,1,0,2009.7916666666667,2,0,0.03,0.061224489795918366,0.034,0.017171717171717175,0.04,0.0106951871657754
2,Békés et al. (2009),0,0,0,4,5,0,1,0,1,0,0,0,0.0344,0.020975609756097562,1.64,0,0,0,0,,,0.0344,0.020975609756097562,Hungary,0,0,66470,1992,2003,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,2.0,0,ok,region-specific measures for spillovers,56,2328.6448873577306,0.13678408563184702,20532.63476892645,131.373123168945,33.2152439872511,26.0566319545451,8.040816326530612,4.041666666666666,4.041666666666666,1.294,0.00562,0.95,0.134,0,0,6,1,1,1,97,0,1,0,2009.7916666666667,2,0,0.03,0.061224489795918366,0.034,0.017171717171717175,0.04,0.0106951871657754
2,Békés et al. (2009),0,0,0,5,5,0,1,0,1,0,0,0,0.0437,0.018516949152542376,2.36,0,0,0,0,,,0.0437,0.018516949152542376,Hungary,0,0,66470,1992,2003,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,2.0,0,ok,region-specific measures for spillovers,56,2328.6448873577306,0.13678408563184702,20532.63476892645,131.373123168945,33.2152439872511,26.0566319545451,8.040816326530612,4.041666666666666,4.041666666666666,1.294,0.00562,0.95,0.134,0,0,6,1,1,1,97,0,1,0,2009.7916666666667,2,0,0.03,0.061224489795918366,0.034,0.017171717171717175,0.04,0.0106951871657754
2,Békés et al. (2009),0,0,0,6,5,0,0,0,1,0,0,0,0.1681,0.06465384615384615,2.6,0,0,0,0,,,0.1681,0.06465384615384615,Hungary,0,0,66470,1992,2003,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,2.0,0,ok,region-specific measures for spillovers,56,2328.6448873577306,0.13678408563184702,20532.63476892645,131.373123168945,33.2152439872511,26.0566319545451,8.040816326530612,4.041666666666666,4.041666666666666,1.294,0.00562,0.95,0.134,0,0,6,1,1,1,97,0,1,0,2009.7916666666667,2,0,0.03,0.061224489795918366,0.034,0.017171717171717175,0.04,0.0106951871657754
2,Békés et al. (2009),0,0,0,7,5,0,0,0,1,0,0,0,-0.0545,0.04954545454545454,-1.1,0,0,0,0,,,-0.0545,0.04954545454545454,Hungary,0,0,66470,1992,2003,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,2.0,0,ok,region-specific measures for spillovers,56,2328.6448873577306,0.13678408563184702,20532.63476892645,131.373123168945,33.2152439872511,26.0566319545451,8.040816326530612,4.041666666666666,4.041666666666666,1.294,0.00562,0.95,0.134,0,0,6,1,1,1,97,0,1,0,2009.7916666666667,2,0,0.03,0.061224489795918366,0.034,0.017171717171717175,0.04,0.0106951871657754
2,Békés et al. (2009),0,0,0,8,5,1,0,0,1,0,0,0,0.0181,0.03290909090909091,0.55,0,0,0,0,,,0.0181,0.03290909090909091,Hungary,0,0,66470,1992,2003,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,2.0,0,ok,region-specific measures for spillovers,56,2328.6448873577306,0.13678408563184702,20532.63476892645,131.373123168945,33.2152439872511,26.0566319545451,8.040816326530612,4.041666666666666,4.041666666666666,1.294,0.00562,0.95,0.134,0,0,6,1,1,1,97,0,1,0,2009.7916666666667,2,0,0.03,0.061224489795918366,0.034,0.017171717171717175,0.04,0.0106951871657754
2,Békés et al. (2009),0,0,0,9,5,1,0,0,1,0,0,0,0.0426,0.029583333333333333,1.44,0,0,0,0,,,0.0426,0.029583333333333333,Hungary,0,0,66470,1992,2003,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,2.0,0,ok,region-specific measures for spillovers,56,2328.6448873577306,0.13678408563184702,20532.63476892645,131.373123168945,33.2152439872511,26.0566319545451,8.040816326530612,4.041666666666666,4.041666666666666,1.294,0.00562,0.95,0.134,0,0,6,1,1,1,97,0,1,0,2009.7916666666667,2,1,0.03,0.061224489795918366,0.034,0.017171717171717175,0.04,0.0106951871657754
4,Blake et al. (2009),0,1,0,1,5,0,0,0,0,0,0,0,0.107887,0.142597,0.7565867444616646,0,0,0,0,,0.689549,0.074393372963,0.098327618753,China,0,0,741,2000,2000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,ok,Data sent by the author,59,2569.9567157157144,1.4842337157985384,21799.883870702637,37.9668960571289,6.44937967567679,111.475798649419,6.717391304347826,3.091666666666667,2.1166666666666663,0.0,0.0,0.0,0.007,0,0,2,0,1,1,12,0,1,0,2009.375,3,0,0.065,0.040372670807453416,0.002,0.0058823529411764705,-0.044,0.011956521739130433
4,Blake et al. (2009),0,1,0,2,5,0,0,0,0,0,0,0,0.087971,0.142919,0.6155304753041932,0,0,0,0,,0.689549,0.06066031507899999,0.098549653531,China,0,0,727,2000,2000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,ok,Data sent by the author,59,2569.9567157157144,1.4842337157985384,21799.883870702637,37.9668960571289,6.44937967567679,111.475798649419,6.717391304347826,3.091666666666667,2.1166666666666663,0.0,0.0,0.0,0.007,0,0,2,0,1,1,12,0,1,0,2009.375,3,0,0.065,0.040372670807453416,0.002,0.0058823529411764705,-0.044,0.011956521739130433
4,Blake et al. (2009),0,1,0,3,5,0,0,0,0,0,0,0,0.087162,0.14216,0.6131260551491278,0,0,0,0,,0.689549,0.060102469938,0.09802628584,China,0,0,730,2000,2000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,ok,Data sent by the author,59,2569.9567157157144,1.4842337157985384,21799.883870702637,37.9668960571289,6.44937967567679,111.475798649419,6.717391304347826,3.091666666666667,2.1166666666666663,0.0,0.0,0.0,0.007,0,0,2,0,1,1,12,0,1,0,2009.375,3,0,0.065,0.040372670807453416,0.002,0.0058823529411764705,-0.044,0.011956521739130433
4,Blake et al. (2009),0,1,0,4,5,0,0,0,0,0,0,0,0.106537,0.142162,0.7494056076870049,0,0,0,0,,0.689549,0.073462481813,0.098027664938,China,0,0,741,2000,2000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,ok,Data sent by the author,59,2569.9567157157144,1.4842337157985384,21799.883870702637,37.9668960571289,6.44937967567679,111.475798649419,6.717391304347826,3.091666666666667,2.1166666666666663,0.0,0.0,0.0,0.007,0,0,2,0,1,1,12,0,1,0,2009.375,3,0,0.065,0.040372670807453416,0.002,0.0058823529411764705,-0.044,0.011956521739130433
4,Blake et al. (2009),0,1,0,5,5,0,0,0,0,0,0,0,0.086812,0.14251,0.609164269174093,0,0,0,0,,0.689549,0.059861127788,0.09826762799,China,0,0,727,2000,2000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,ok,Data sent by the author,59,2569.9567157157144,1.4842337157985384,21799.883870702637,37.9668960571289,6.44937967567679,111.475798649419,6.717391304347826,3.091666666666667,2.1166666666666663,0.0,0.0,0.0,0.007,0,0,2,0,1,1,12,0,1,0,2009.375,3,0,0.065,0.040372670807453416,0.002,0.0058823529411764705,-0.044,0.011956521739130433
4,Blake et al. (2009),0,1,0,6,5,0,0,0,0,0,0,0,0.085904,0.14178,0.6058964593031457,0,0,0,0,,0.689549,0.059235017295999996,0.09776425721999998,China,0,0,730,2000,2000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,ok,Data sent by the author,59,2569.9567157157144,1.4842337157985384,21799.883870702637,37.9668960571289,6.44937967567679,111.475798649419,6.717391304347826,3.091666666666667,2.1166666666666663,0.0,0.0,0.0,0.007,0,0,2,0,1,1,12,0,1,0,2009.375,3,0,0.065,0.040372670807453416,0.002,0.0058823529411764705,-0.044,0.011956521739130433
4,Blake et al. (2009),0,1,0,7,5,1,0,0,0,0,0,0,0.001241,0.020704,0.05994010819165378,0,0,0,0,,0.689549,0.0008557303089999999,0.014276422496,China,0,0,741,2000,2000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,ok,Data sent by the author,59,2569.9567157157144,1.4842337157985384,21799.883870702637,37.9668960571289,6.44937967567679,111.475798649419,6.717391304347826,3.091666666666667,2.1166666666666663,0.0,0.0,0.0,0.007,0,0,2,0,1,1,12,0,1,0,2009.375,3,0,0.065,0.040372670807453416,0.002,0.0058823529411764705,-0.044,0.011956521739130433
4,Blake et al. (2009),0,1,0,8,5,1,0,0,0,0,0,0,0.001869,0.02075,0.0900722891566265,0,0,0,0,,0.689549,0.001288767081,0.01430814175,China,0,0,727,2000,2000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,ok,Data sent by the author,59,2569.9567157157144,1.4842337157985384,21799.883870702637,37.9668960571289,6.44937967567679,111.475798649419,6.717391304347826,3.091666666666667,2.1166666666666663,0.0,0.0,0.0,0.007,0,0,2,0,1,1,12,0,1,0,2009.375,3,0,0.065,0.040372670807453416,0.002,0.0058823529411764705,-0.044,0.011956521739130433
4,Blake et al. (2009),0,1,0,9,5,1,0,0,0,0,0,0,0.005373,0.020649,0.26020630539009154,0,0,0,0,,0.689549,0.003704946777,0.014238497301,China,0,0,730,2000,2000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,ok,Data sent by the author,59,2569.9567157157144,1.4842337157985384,21799.883870702637,37.9668960571289,6.44937967567679,111.475798649419,6.717391304347826,3.091666666666667,2.1166666666666663,0.0,0.0,0.0,0.007,0,0,2,0,1,1,12,0,1,0,2009.375,3,0,0.065,0.040372670807453416,0.002,0.0058823529411764705,-0.044,0.011956521739130433
4,Blake et al. (2009),0,1,0,10,5,1,0,0,0,0,0,0,0.001247,0.020639,0.060419593972576194,0,0,0,0,,0.689549,0.000859867603,0.014231601811,China,0,0,741,2000,2000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,ok,Data sent by the author,59,2569.9567157157144,1.4842337157985384,21799.883870702637,37.9668960571289,6.44937967567679,111.475798649419,6.717391304347826,3.091666666666667,2.1166666666666663,0.0,0.0,0.0,0.007,0,0,2,0,1,1,12,0,1,0,2009.375,3,0,0.065,0.040372670807453416,0.002,0.0058823529411764705,-0.044,0.011956521739130433
4,Blake et al. (2009),0,1,0,11,5,1,0,0,0,0,0,0,0.001879,0.02069,0.09081681971967134,0,0,0,0,,0.689549,0.001295662571,0.01426676881,China,0,0,727,2000,2000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,ok,Data sent by the author,59,2569.9567157157144,1.4842337157985384,21799.883870702637,37.9668960571289,6.44937967567679,111.475798649419,6.717391304347826,3.091666666666667,2.1166666666666663,0.0,0.0,0.0,0.007,0,0,2,0,1,1,12,0,1,0,2009.375,3,0,0.065,0.040372670807453416,0.002,0.0058823529411764705,-0.044,0.011956521739130433
