Obs,ID Study,No_Eq,Study,DepVar,GDP,GDPpc,rGDP,rGDPpc,PerCap,RealGDP,Other,Growth,Log_trans,COEF_L,SE_L,COEF_S,SE_S,N,T,Sample,Rem,Rempc,RemofGDP,Growth_Rem,Log_Rem,AID,FDI,OPEN,FD,INS,OLS,FMOLS,IV,Panel,FE,RE,GMM,TS,ARDL,ECM,Cross,Start,End,Length,Variables,DF,Endogen,Year,Homogen,Single,EUR,EAP,SA,LAC,MENA,SSA,ROW,MI,LI,LMI,UMI,IT,Lags,Pub,RY,Citat,IF,Comment,TSTAT_L,TSTAT_S
28,2,4,"Kumar R.R., Stauvermann P.J., Patel A., Prasad S. (2018)",4,0,0,0,1,1,1,0,0,0,,,-0.015,0.06051423101115569,1,25,25,0,0,1,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1990,2015,1.0,4,21,1,2018,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,2017,1,0.036,Macedonia,,-0.2478755781798628
29,2,4,"Kumar R.R., Stauvermann P.J., Patel A., Prasad S. (2018)",4,0,0,0,1,1,1,0,0,0,0.056,0.014284256708499133,,,1,25,25,0,0,1,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1990,2015,1.0,4,21,1,2018,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,2017,1,0.036,Kyrgyzstan,3.9204,
30,2,4,"Kumar R.R., Stauvermann P.J., Patel A., Prasad S. (2018)",4,0,0,0,1,1,1,0,0,0,,,0.005,0.007865345288658171,1,25,25,0,0,1,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1990,2015,1.0,4,21,1,2018,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,2017,1,0.036,Kyrgyzstan,,0.6357
31,3,4,"Comes C.-A., Bunduchi E., Vasile V., Stefan D. (2018)",1,1,0,0,0,0,0,0,0,0,36.719,6.768,,,7,6,42,1,0,0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2010,2016,1.0,1,41,0,2018,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,1,0.002,,5.425384160756502,
32,3,4,"Comes C.-A., Bunduchi E., Vasile V., Stefan D. (2018)",1,1,0,0,0,0,0,0,0,0,2.8986,2.9791,,,7,6,42,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2010,2016,1.0,1,41,0,2018,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,1,0.002,,0.972978416300225,
33,3,4,"Comes C.-A., Bunduchi E., Vasile V., Stefan D. (2018)",1,1,0,0,0,0,0,0,0,0,2.299,2.979,,,7,6,42,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2010,2016,1.0,8,34,0,2018,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,1,0.002,,0.7717354817052702,
34,3,4,"Comes C.-A., Bunduchi E., Vasile V., Stefan D. (2018)",1,1,0,0,0,0,0,0,0,0,1.042,0.52,,,7,6,42,1,0,0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2010,2016,1.0,2,40,0,2018,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,1,0.002,,2.003846153846154,
35,4,2,Makun K.K. (2018),3,0,0,1,0,0,1,0,0,1,-0.714,0.37638376383763833,,,1,35,35,1,0,0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1980,2015,1.0,4,31,1,2017,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,2017,2,0.001,,-1.8970000000000002,
36,4,2,Makun K.K. (2018),3,0,0,1,0,0,1,0,1,1,,,0.602,0.5063078216989066,1,35,35,1,0,0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1980,2015,1.0,4,31,1,2017,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,2017,2,0.001,,,1.189
37,5,2,"Arif I., Khan L., Raza S.A., Maqbool F. (2017)",1,1,0,0,0,0,0,0,0,1,0.087,0.069,,,8,28,224,1,0,0,0.0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1986,2014,1.0,3,221,1,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2017,0,0.0,,1.2608695652173911,
38,5,2,"Arif I., Khan L., Raza S.A., Maqbool F. (2017)",1,1,0,0,0,0,0,0,0,1,,,0.006,0.02,8,28,224,1,0,0,0.0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1986,2014,1.0,3,221,1,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2017,0,0.0,,,0.3
39,6,8,"Adams S., Klobodu E.K.M. (2017)",2,0,1,0,0,1,0,0,0,0,-0.4588,0.1897,,,1,44,44,0,0,1,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1970,2014,1.0,5,39,1,2017,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2017,1,0.034,Burkina Faso,-2.4185556141275697,
40,6,8,"Adams S., Klobodu E.K.M. (2017)",3,0,1,0,0,1,0,0,0,0,-1.2973,0.7245,,,1,44,44,0,0,1,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1970,2014,1.0,5,39,1,2017,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2017,1,0.034,Niger,-1.790614216701173,
41,6,8,"Adams S., Klobodu E.K.M. (2017)",3,0,1,0,0,1,0,0,0,0,0.0745,1.0129,,,1,44,44,0,0,1,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1970,2014,1.0,5,39,1,2017,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,2017,1,0.034,Ghana,0.07355118965347024,
42,6,8,"Adams S., Klobodu E.K.M. (2017)",3,0,1,0,0,1,0,0,0,0,0.8876,0.1834,,,1,44,44,0,0,1,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1970,2014,1.0,5,39,1,2017,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2017,1,0.034,Senegal,4.8396946564885495,
43,6,8,"Adams S., Klobodu E.K.M. (2017)",3,0,1,0,0,1,0,0,0,0,,,-0.2965,0.1069,1,44,44,0,0,1,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1970,2014,1.0,5,39,1,2017,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2017,1,0.034,Burkina Faso,,-2.773620205799813
44,6,8,"Adams S., Klobodu E.K.M. (2017)",3,0,1,0,0,1,0,0,0,0,,,-1.112,0.5221,1,44,44,0,0,1,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1970,2014,1.0,5,39,1,2017,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2017,1,0.034,Niger,,-2.1298601800421375
45,6,8,"Adams S., Klobodu E.K.M. (2017)",3,0,1,0,0,1,0,0,0,0,,,1.0367,0.5406,1,44,44,0,0,1,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1970,2014,1.0,5,39,1,2017,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,2017,1,0.034,Ghana,,1.917684054753977
46,6,8,"Adams S., Klobodu E.K.M. (2017)",3,0,1,0,0,1,0,0,0,0,,,-1.982,0.4536,1,44,44,0,0,1,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1970,2014,1.0,5,39,1,2017,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2017,1,0.034,Senegal,,-4.3694885361552025
47,7,6,"Afawubo K., Couchoro M.K. (2017)",1,1,0,0,0,0,0,0,1,0,0.67,0.471830985915493,,,8,14,110,1,0,0,1.0,0.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2000,2014,1.0,10,100,1,2017,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2017,0,0.027,,1.42,
48,7,6,"Afawubo K., Couchoro M.K. (2017)",1,1,0,0,0,0,0,0,1,0,0.65,0.20440251572327045,,,8,14,110,1,0,0,1.0,0.0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2000,2014,1.0,10,100,1,2017,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2017,0,0.027,,3.18,
49,7,6,"Afawubo K., Couchoro M.K. (2017)",1,1,0,0,0,0,0,0,1,0,0.02,0.2857142857142857,,,8,14,110,1,0,0,1.0,0.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2000,2014,1.0,11,99,1,2017,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2017,0,0.027,,0.07,
50,7,6,"Afawubo K., Couchoro M.K. (2017)",1,1,0,0,0,0,0,0,1,0,0.06,0.23076923076923075,,,8,14,110,1,0,0,1.0,0.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2000,2014,1.0,11,99,1,2017,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2017,0,0.027,,0.26,
51,7,6,"Afawubo K., Couchoro M.K. (2017)",1,1,0,0,0,0,0,0,1,0,0.09,0.2571428571428572,,,8,14,110,1,0,0,1.0,0.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2000,2014,1.0,11,99,1,2017,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2017,0,0.027,,0.3499999999999999,
52,7,6,"Afawubo K., Couchoro M.K. (2017)",1,1,0,0,0,0,0,0,1,0,0.09,0.20454545454545453,,,8,14,110,1,0,0,1.0,0.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2000,2014,1.0,11,99,1,2017,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2017,0,0.027,,0.44,
53,8,2,"Adams S., Klobodu E.K.M., Lamptey R.O. (2017)",4,0,0,0,1,1,1,0,0,1,-0.3344,0.038356101533555856,,,1,44,44,0,0,1,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1970,2014,1.0,6,38,1,2017,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2017,5,0.009,,-8.7183,
54,8,2,"Adams S., Klobodu E.K.M., Lamptey R.O. (2017)",4,0,0,0,1,1,1,0,0,1,-0.1355,0.060289210233592884,,,1,44,44,0,0,1,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1970,2014,1.0,3,41,1,2017,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2017,5,0.009,,-2.2475,
55,9,4,Lartey E.K.K. (2017),2,0,1,0,0,1,0,0,1,1,0.8097391320407342,0.20156515867577462,,,107,37,1677,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1970,2007,1.0,7,1670,1,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2016,4,0.135,IT: exchange rate regime,4.017257433578742,
56,9,4,Lartey E.K.K. (2017),2,0,1,0,0,1,0,0,1,1,0.8148073332972336,0.31851567892842203,,,107,37,1677,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1970,2007,1.0,7,1670,1,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2016,4,0.135,IT: exchange rate regime,2.558138852186112,
57,9,4,Lartey E.K.K. (2017),2,0,1,0,0,1,0,0,1,1,0.3284964486207425,0.08003968320223304,,,107,37,1679,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1970,2007,1.0,7,1672,1,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2016,4,0.135,IT: exchange rate regime,4.104169775269397,
58,9,4,Lartey E.K.K. (2017),2,0,1,0,0,1,0,0,1,1,0.3254964486207425,0.3172667168140891,,,107,37,1679,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1970,2007,1.0,7,1672,1,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2016,4,0.135,IT: exchange rate regime,1.0259394741726906,
59,10,3,Ghosh Dastidar S. (2017),3,0,0,1,0,0,1,0,1,0,0.001,0.001672800267648043,,,62,24,1488,0,0,1,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1990,2014,1.0,3,1485,0,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,2,0.034,"No SE, T sat or p values",0.5978,
60,10,3,Ghosh Dastidar S. (2017),1,0,0,1,0,0,1,0,1,0,0.005,0.008364001338240215,,,62,24,1488,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1990,2014,1.0,3,1485,0,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,2,0.034,"No SE, T sat or p values",0.5978,
61,10,3,Ghosh Dastidar S. (2017),1,0,0,1,0,0,1,0,1,0,0.00025,0.000418200066912011,,,62,24,1488,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1990,2014,1.0,3,1485,1,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,2,0.034,"No SE, T sat or p values",0.5977999999999996,
62,11,12,Imad E. (2017),4,0,0,0,1,1,1,0,1,1,-0.345,0.47,,,11,30,253,0,0,1,0.0,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1984,2014,1.0,7,246,1,2017,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2017,0,0.027,,-0.7340425531914894,
63,11,12,Imad E. (2017),4,0,0,0,1,1,1,0,1,1,-0.5343,0.53,,,11,30,248,0,0,1,0.0,1.0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1984,2014,1.0,9,239,1,2017,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2017,0,0.027,,-1.0081132075471697,
64,11,12,Imad E. (2017),4,0,0,0,1,1,1,0,1,1,0.5669,0.57,,,11,30,254,0,0,1,0.0,1.0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1984,2014,1.0,10,244,1,2017,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2017,0,0.027,,0.994561403508772,
65,11,12,Imad E. (2017),4,0,0,0,1,1,1,0,1,1,-0.2538529999999999,0.6312556784695089,,,11,30,268,0,0,1,0.0,1.0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1984,2014,1.0,11,257,1,2017,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2017,0,0.027,IT: ICRG,-0.4021397488502142,
66,11,12,Imad E. (2017),4,0,0,0,1,1,1,0,1,1,1.0831,1.54,,,11,30,258,0,0,1,0.0,1.0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1984,2014,1.0,10,248,1,2017,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2017,0,0.027,,0.7033116883116882,
67,11,12,Imad E. (2017),4,0,0,0,1,1,1,0,1,1,7.239696,3.1392305430630607,,,11,30,267,0,0,1,0.0,1.0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1984,2014,1.0,11,256,1,2017,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2017,0,0.027,IT: ICRG,2.30620080325033,
68,11,12,Imad E. (2017),4,0,0,0,1,1,1,0,1,1,0.4533,2.03,,,11,30,251,0,0,1,0.0,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1984,2014,1.0,10,241,1,2017,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2017,0,0.027,,0.22330049261083745,
69,11,12,Imad E. (2017),4,0,0,0,1,1,1,0,1,1,6.18179434,2.4740472968173024,,,11,30,240,0,0,1,0.0,1.0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1984,2014,1.0,11,229,1,2017,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2017,0,0.027,IT: ICRG,2.4986564921181853,
70,11,12,Imad E. (2017),4,0,0,0,1,1,1,0,1,1,-0.0688,0.14,,,11,30,246,0,0,1,0.0,1.0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1984,2014,1.0,10,236,1,2017,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2017,0,0.027,,-0.4914285714285714,
71,11,12,Imad E. (2017),4,0,0,0,1,1,1,0,1,1,0.7637895200000002,0.2557599375664609,,,11,30,257,0,0,1,0.0,1.0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1984,2014,1.0,11,246,1,2017,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2017,0,0.027,IT: ICRG,2.9863532469839003,
72,11,12,Imad E. (2017),4,0,0,0,1,1,1,0,1,1,0.00332,0.04,,,11,30,256,0,0,1,0.0,1.0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1984,2014,1.0,10,246,1,2017,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2017,0,0.027,,0.083,
