idstudy,idcountry,study,pcc,se_pcc,tstat,estimate,se_estimate,education_choice,education_attainment,education_test,employment_continuous,employment_dummy,employment_categorical,longitudinal_data,crosssectional_data,secondary_education,tertiary_education,male_students,female_students,mixed_gender_students,europe,germany,usa,other_countries,data_year,sample_size,ols_method,matching_method,did_method,panel_method,iv_method,dynamic_model,number_of_variables,ability_control,motivation_control,parental_education_control,age_control,ethnicity_control,publication_year,citations,published_study,impact_factor,low_intensity_employment,medium_intensity_employment,high_intensity_employment,oncampus_employment,parttime_students,twoyear_college,undergraduate_students,minority_students,caucasian_students,homogeneous_subsample,endogeneity_control,selfreported_education,sample_size_full,country,pub_year,mid_year
4,3,Auers et al. (2007),-0.2268252925804651,0.0313846316778002,-7.2272727272727275,-1.113,0.154,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.6635616461296463,6.883462586413092,1.0,0.0,0.0,0.0,0.0,0.0,2.4849066497880004,0.0,0.0,0.0,1.0,1.0,3.3998075273730985,0.5965203448708677,1.0,0.951,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,976,Latvia,2007.9583333333333,2005.0
4,3,Auers et al. (2007),-0.0790205311894114,0.03214047512108184,-2.4585987261146496,-0.386,0.157,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.6635616461296463,6.883462586413092,1.0,0.0,0.0,0.0,0.0,0.0,2.5649493574615367,0.0,0.0,0.0,1.0,1.0,3.3998075273730985,0.5965203448708677,1.0,0.951,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,976,Latvia,2007.9583333333333,2005.0
4,3,Auers et al. (2007),-0.20756674328016014,0.03153910629138236,-6.58125,-1.053,0.16,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.6635616461296463,6.883462586413092,1.0,0.0,0.0,0.0,0.0,0.0,2.5649493574615367,0.0,0.0,0.0,1.0,1.0,3.3998075273730985,0.5965203448708677,1.0,0.951,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,976,Latvia,2007.9583333333333,2005.0
4,3,Auers et al. (2007),0.0010463381818780393,0.03431989236559969,0.03048780487804878,0.005,0.164,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.6635616461296463,6.763884908562435,1.0,0.0,0.0,0.0,0.0,0.0,2.772588722239781,0.0,0.0,0.0,1.0,1.0,3.3998075273730985,0.5965203448708677,1.0,0.951,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,866,Latvia,2007.9583333333333,2005.0
4,3,Auers et al. (2007),-0.07068870212661867,0.034234057312629455,-2.064864864864865,-0.382,0.185,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.6635616461296463,6.763884908562435,1.0,0.0,0.0,0.0,0.0,0.0,2.772588722239781,0.0,0.0,0.0,1.0,1.0,3.3998075273730985,0.5965203448708677,1.0,0.951,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,866,Latvia,2007.9583333333333,2005.0
4,3,Auers et al. (2007),-0.008903601206849422,0.034197922817217105,-0.26035502958579876,-0.044,0.169,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.6635616461296463,6.769641976852503,1.0,0.0,0.0,0.0,0.0,0.0,2.70805020110221,0.0,0.0,0.0,1.0,1.0,3.3998075273730985,0.5965203448708677,1.0,0.951,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,871,Latvia,2007.9583333333333,2005.0
4,3,Auers et al. (2007),-0.0935876879893923,0.03404917916687241,-2.7486033519553073,-0.492,0.179,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.6635616461296463,6.769641976852503,1.0,0.0,0.0,0.0,0.0,0.0,2.70805020110221,0.0,0.0,0.0,1.0,1.0,3.3998075273730985,0.5965203448708677,1.0,0.951,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,871,Latvia,2007.9583333333333,2005.0
4,3,Auers et al. (2007),-0.05948274760091765,0.03228504392812965,-1.8424242424242423,-0.304,0.165,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.6635616461296463,6.878326468291325,1.0,0.0,0.0,0.0,0.0,0.0,2.6390573296152584,0.0,0.0,0.0,1.0,1.0,3.3998075273730985,0.5965203448708677,1.0,0.951,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,971,Latvia,2007.9583333333333,2005.0
4,3,Auers et al. (2007),-0.17923130434341833,0.031818591108157414,-5.632911392405063,-0.89,0.158,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.6635616461296463,6.878326468291325,1.0,0.0,0.0,0.0,0.0,0.0,2.6390573296152584,0.0,0.0,0.0,1.0,1.0,3.3998075273730985,0.5965203448708677,1.0,0.951,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,971,Latvia,2007.9583333333333,2005.0
5,4,Baert et al. (2017),-0.0028046881062809884,0.014263842369086165,-0.1966292134831461,-0.035,0.178,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,3.58351893845611,8.502282578680484,0.0,0.0,0.0,0.0,0.0,1.0,2.302585092994046,0.0,0.0,1.0,1.0,0.0,3.6857495611050086,1.4434527749598391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,4926,Belgium,2017.875,2002.0
5,4,Baert et al. (2017),-0.06347268613452815,0.01423513640492816,-4.458874458874459,-1.03,0.231,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,3.58351893845611,8.502282578680484,0.0,0.0,0.0,0.0,0.0,1.0,2.302585092994046,0.0,0.0,1.0,1.0,0.0,3.6857495611050086,1.4434527749598391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,4926,Belgium,2017.875,2002.0
6,4,Baert et al. (2018),-0.23076923076923073,0.07692307692307693,-2.9999999999999996,-0.009,0.003,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.912023005428146,5.1298987149230735,1.0,0.0,0.0,0.0,0.0,0.0,2.0794415416798357,0.0,0.0,1.0,1.0,0.0,3.6982107815428207,1.8971199848858813,1.0,0.752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,169,Belgium,2018.375,2016.0
6,4,Baert et al. (2018),-0.20690424004474867,0.07758909001678076,-2.6666666666666665,-0.008,0.003,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.912023005428146,5.1298987149230735,1.0,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,1.0,1.0,1.0,0.0,3.6982107815428207,1.8971199848858813,1.0,0.752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,169,Belgium,2018.375,2016.0
7,5,Beerkens et al. (2011),-0.05458911156911219,0.020022303897321427,-2.7264150943396226,-0.289,0.106,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.7376696182833684,7.822444729489319,1.0,0.0,0.0,0.0,0.0,0.0,2.0794415416798357,0.0,0.0,1.0,1.0,1.0,3.51278844707062,2.5030889688711992,1.0,2.856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2496,Estonia,2011.5416666666667,2008.0
7,5,Beerkens et al. (2011),0.009188058116888035,0.02005942459106853,0.4580419580419581,0.131,0.286,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.7376696182833684,7.822444729489319,1.0,0.0,0.0,0.0,0.0,0.0,2.302585092994046,0.0,0.0,1.0,1.0,1.0,3.51278844707062,2.5030889688711992,1.0,2.856,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2496,Estonia,2011.5416666666667,2008.0
7,5,Beerkens et al. (2011),0.001876137184730017,0.02006023605211326,0.0935251798561151,0.013,0.139,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.7376696182833684,7.822444729489319,1.0,0.0,0.0,0.0,0.0,0.0,2.302585092994046,0.0,0.0,1.0,1.0,1.0,3.51278844707062,2.5030889688711992,1.0,2.856,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2496,Estonia,2011.5416666666667,2008.0
7,5,Beerkens et al. (2011),-0.05232702602194053,0.020032788840082846,-2.612068965517241,-0.303,0.116,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.7376696182833684,7.822444729489319,1.0,0.0,0.0,0.0,0.0,0.0,2.302585092994046,0.0,0.0,1.0,1.0,1.0,3.51278844707062,2.5030889688711992,1.0,2.856,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2496,Estonia,2011.5416666666667,2008.0
8,6,Beffy et al. (2013),-0.0801697148869966,0.024982064129092426,-3.209090909090909,-0.353,0.11,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.4339872044851463,7.3796321526095525,1.0,0.0,0.0,0.0,0.0,0.0,2.302585092994046,0.0,0.0,0.0,1.0,0.0,3.5707057171437357,0.3448404862917403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1603,France,2013.5416666666667,1997.0
8,6,Beffy et al. (2013),-0.02712122848825206,0.0250613883499038,-1.082191780821918,-0.158,0.146,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.4339872044851463,7.3796321526095525,1.0,0.0,0.0,0.0,0.0,0.0,2.3978952727983707,0.0,0.0,0.0,1.0,0.0,3.5707057171437357,0.3448404862917403,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1603,France,2013.5416666666667,1997.0
8,6,Beffy et al. (2013),-0.09390480754386991,0.024959828027459847,-3.762237762237763,-0.538,0.143,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.4339872044851463,7.3796321526095525,1.0,0.0,0.0,0.0,0.0,0.0,2.3978952727983707,0.0,0.0,0.0,1.0,0.0,3.5707057171437357,0.3448404862917403,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1603,France,2013.5416666666667,1997.0
8,6,Beffy et al. (2013),-0.12559188022745635,0.02486428842653399,-5.0510948905109485,-1.384,0.274,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.4339872044851463,7.3796321526095525,0.0,0.0,0.0,0.0,1.0,0.0,2.302585092994046,0.0,0.0,0.0,1.0,0.0,3.5707057171437357,0.3448404862917403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1603,France,2013.5416666666667,1997.0
8,6,Beffy et al. (2013),-0.08194325283665886,0.024986297983807144,-3.279527559055118,-0.833,0.254,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.4339872044851463,7.3796321526095525,0.0,0.0,0.0,0.0,1.0,0.0,2.3978952727983707,0.0,0.0,0.0,1.0,0.0,3.5707057171437357,0.3448404862917403,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1603,France,2013.5416666666667,1997.0
8,6,Beffy et al. (2013),-0.11574006250484091,0.02490212440902531,-4.647798742138365,-1.478,0.318,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.4339872044851463,7.3796321526095525,0.0,0.0,0.0,0.0,1.0,0.0,2.3978952727983707,0.0,0.0,0.0,1.0,0.0,3.5707057171437357,0.3448404862917403,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1603,France,2013.5416666666667,1997.0
8,6,Beffy et al. (2013),-0.12455775979229419,0.024875369602673135,-5.007272727272727,-1.377,0.275,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.4339872044851463,7.3796321526095525,0.0,0.0,0.0,0.0,1.0,0.0,2.3978952727983707,0.0,1.0,0.0,1.0,0.0,3.5707057171437357,0.3448404862917403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1603,France,2013.5416666666667,1997.0
9,6,Body et al. (2014),-0.16196597727153997,0.034651106248569624,-4.674193548387097,-1.449,0.31,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.828641396489095,6.71295620067707,0.0,0.0,0.0,0.0,1.0,0.0,2.3978952727983707,1.0,0.0,0.0,1.0,1.0,3.603003795588232,2.006416406664933,1.0,1.103,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,823,France,2014.7083333333333,2012.0
9,6,Body et al. (2014),-0.16458030688198774,0.03463591363989582,-4.751724137931035,-1.378,0.29,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.828641396489095,6.71295620067707,0.0,0.0,0.0,0.0,1.0,0.0,2.3978952727983707,1.0,0.0,0.0,1.0,1.0,3.603003795588232,2.006416406664933,1.0,1.103,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,823,France,2014.7083333333333,2012.0
9,6,Body et al. (2014),-0.017295211536950093,0.035152868977540844,-0.492,-0.246,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.828641396489095,6.71295620067707,0.0,0.0,0.0,0.0,1.0,0.0,2.5649493574615367,1.0,0.0,0.0,1.0,1.0,3.603003795588232,2.006416406664933,1.0,1.103,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,823,France,2014.7083333333333,2012.0
9,6,Body et al. (2014),-0.1063741673015717,0.03495864653103296,-3.0428571428571427,-1.065,0.35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.828641396489095,6.71295620067707,0.0,0.0,0.0,0.0,1.0,0.0,2.5649493574615367,1.0,0.0,0.0,1.0,1.0,3.603003795588232,2.006416406664933,1.0,1.103,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,823,France,2014.7083333333333,2012.0
9,6,Body et al. (2014),-0.1367002119423103,0.03482807947574784,-3.9250000000000003,-1.727,0.44,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.828641396489095,6.71295620067707,0.0,0.0,0.0,0.0,1.0,0.0,2.5649493574615367,1.0,0.0,0.0,1.0,1.0,3.603003795588232,2.006416406664933,1.0,1.103,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,823,France,2014.7083333333333,2012.0
9,6,Body et al. (2014),-0.014764804009965687,0.035154295261823065,-0.42,-0.21,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.828641396489095,6.71295620067707,0.0,0.0,0.0,0.0,1.0,0.0,2.5649493574615367,1.0,0.0,0.0,1.0,1.0,3.603003795588232,2.006416406664933,1.0,1.103,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,823,France,2014.7083333333333,2012.0
9,6,Body et al. (2014),-0.10966895821628225,0.0349460597877563,-3.1382352941176466,-1.067,0.34,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.828641396489095,6.71295620067707,0.0,0.0,0.0,0.0,1.0,0.0,2.5649493574615367,1.0,0.0,0.0,1.0,1.0,3.603003795588232,2.006416406664933,1.0,1.103,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,823,France,2014.7083333333333,2012.0
9,6,Body et al. (2014),-0.1436474505407068,0.03479350013096704,-4.128571428571429,-1.734,0.42,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.828641396489095,6.71295620067707,0.0,0.0,0.0,0.0,1.0,0.0,2.5649493574615367,1.0,0.0,0.0,1.0,1.0,3.603003795588232,2.006416406664933,1.0,1.103,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,823,France,2014.7083333333333,2012.0
9,6,Body et al. (2014),-0.031786054847856175,0.03514036214335859,-0.9045454545454545,-0.398,0.44,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.828641396489095,6.71295620067707,0.0,0.0,0.0,0.0,1.0,0.0,2.5649493574615367,1.0,0.0,0.0,1.0,1.0,3.603003795588232,2.006416406664933,1.0,1.103,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,823,France,2014.7083333333333,2012.0
9,6,Body et al. (2014),-0.025338419175700535,0.03514683950177816,-0.7209302325581396,-0.31,0.43,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.828641396489095,6.71295620067707,0.0,0.0,0.0,0.0,1.0,0.0,2.5649493574615367,1.0,0.0,0.0,1.0,1.0,3.603003795588232,2.006416406664933,1.0,1.103,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,823,France,2014.7083333333333,2012.0
9,6,Body et al. (2014),-0.15118002550910378,0.03475402885266754,-4.35,-1.305,0.3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.828641396489095,6.71295620067707,0.0,0.0,0.0,0.0,1.0,0.0,2.5649493574615367,1.0,0.0,0.0,1.0,1.0,3.603003795588232,2.006416406664933,1.0,1.103,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,823,France,2014.7083333333333,2012.0
9,6,Body et al. (2014),-0.14959856421856424,0.03476248687771123,-4.30344827586207,-1.248,0.29,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.828641396489095,6.71295620067707,0.0,0.0,0.0,0.0,1.0,0.0,2.5649493574615367,1.0,0.0,0.0,1.0,1.0,3.603003795588232,2.006416406664933,1.0,1.103,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,823,France,2014.7083333333333,2012.0
9,6,Body et al. (2014),-0.18043194298963453,0.03458109392135047,-5.2176470588235295,-1.774,0.34,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.828641396489095,6.71295620067707,0.0,0.0,0.0,0.0,1.0,0.0,2.5649493574615367,1.0,0.0,0.0,1.0,1.0,3.603003795588232,2.006416406664933,1.0,1.103,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,823,France,2014.7083333333333,2012.0
9,6,Body et al. (2014),-0.1862095136967413,0.03454321413504766,-5.390625,-1.725,0.32,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,0,3.828641396489095,6.71295620067707,0.0,0.0,0.0,0.0,1.0,0.0,2.5649493574615367,1.0,0.0,0.0,1.0,1.0,3.603003795588232,2.006416406664933,1.0,1.103,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,823,France,2014.7083333333333,2012.0
