A,idstudy,label,study,idcoeff,sigma,se,t,viadelta,preferred,byproduct,crosssec,timeser,panel,nobs,midpoint,time_span,cross_units,annual,quart,firmdata,inddata,stadata,coudata,country,idcountry,country_US,country_Eur,country_Eur_noUK,country_UK,develop,ind_primary,ind_second,ind_tertiary,ind_disagg,ind_materials,ind_industrials,ind_consumer,ind_services,database_ASM_CM,database_OECD,database_jorgenson,e_sys_cesfoc,e_sys_2foc,e_cesnonlin,e_ceslinapprox,e_foc_k_r,e_foc_l_w,e_foc_kl_rw,e_foc_k_share,e_foc_l_share,e_foc_kl_share,e_focrev_k_r,e_focrev_l_w,e_focrev_kl_rw,e_focrev_k_share,e_focrev_l_share,e_focrev_kl_share,cerest,cerest2,norm,twolevel,partialsig,UCE,est_dynamic,est_nonlin,est_sur,identif,diff,timefe,unitfe,shortrun_expl,longrun_expl,longrun_unadj,pfoth,pfhum,pflatc,pfcatc,pftfp,pfskill,VES,tcconst,tcother,nocrs,nofullcomp,capacadj,w_nominal,w_direct,l_hours,l_years,l_numwork,l_numwork_fte,l_force,r_ucc,r_ucctax,r_quasi,r_other,r_nom,r_gross,k_it,k_equip,k_struct,k_resincl,k_services,k_perpet,k_index,y_index,y_other,qualadjust,selfempl,grosssigma,top,pubyear,impact,citations
11,135,Zarembka1970,Zarembka (1970),11,1.356,0.319,,0,0.0,0.0,1,0,0,28.0,1957.0,1,28,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,1,1970,1.215,2.2448979591836733
12,135,Zarembka1970,Zarembka (1970),12,0.633,0.24,,0,0.0,0.0,1,0,0,21.0,1957.0,1,21,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,1,1970,1.215,2.2448979591836733
13,135,Zarembka1970,Zarembka (1970),13,1.492,0.492,,0,0.0,0.0,1,0,0,27.0,1957.0,1,27,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,1,1970,1.215,2.2448979591836733
14,135,Zarembka1970,Zarembka (1970),14,1.009,0.136,,0,0.0,0.0,1,0,0,35.0,1958.0,1,35,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,1,1970,1.215,2.2448979591836733
15,135,Zarembka1970,Zarembka (1970),15,0.909,0.183,,0,0.0,0.0,1,0,0,18.0,1958.0,1,18,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,1,1970,1.215,2.2448979591836733
16,135,Zarembka1970,Zarembka (1970),16,0.861,0.184,,0,0.0,0.0,1,0,0,17.0,1958.0,1,17,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,1,1970,1.215,2.2448979591836733
17,135,Zarembka1970,Zarembka (1970),17,1.074,0.115,,0,0.0,0.0,1,0,0,17.0,1958.0,1,17,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,1,1970,1.215,2.2448979591836733
18,135,Zarembka1970,Zarembka (1970),18,0.724,0.252,,0,0.0,0.0,1,0,0,27.0,1958.0,1,27,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,1,1970,1.215,2.2448979591836733
19,135,Zarembka1970,Zarembka (1970),19,0.923,0.266,,0,0.0,0.0,1,0,0,31.0,1958.0,1,31,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,1,1970,1.215,2.2448979591836733
20,135,Zarembka1970,Zarembka (1970),20,0.312,0.576,,0,0.0,0.0,1,0,0,17.0,1958.0,1,17,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,1,1970,1.215,2.2448979591836733
21,135,Zarembka1970,Zarembka (1970),21,0.644,0.234,,0,0.0,0.0,1,0,0,24.0,1958.0,1,24,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,1,1970,1.215,2.2448979591836733
22,135,Zarembka1970,Zarembka (1970),22,1.809,0.255,,0,0.0,0.0,1,0,0,27.0,1958.0,1,27,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,1,1970,1.215,2.2448979591836733
23,135,Zarembka1970,Zarembka (1970),23,0.673,0.151,,0,0.0,0.0,1,0,0,31.0,1958.0,1,31,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,1,1970,1.215,2.2448979591836733
24,135,Zarembka1970,Zarembka (1970),24,1.132,0.276,,0,0.0,0.0,1,0,0,28.0,1958.0,1,28,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,1,1970,1.215,2.2448979591836733
25,135,Zarembka1970,Zarembka (1970),25,0.212,0.212,,0,0.0,0.0,1,0,0,21.0,1958.0,1,21,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,1,1970,1.215,2.2448979591836733
26,135,Zarembka1970,Zarembka (1970),26,1.467,0.334,,0,0.0,0.0,1,0,0,27.0,1958.0,1,27,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,1,1970,1.215,2.2448979591836733
27,135,Zarembka1970,Zarembka (1970),27,1.012,0.135,,0,1.0,0.0,1,0,0,70.0,1957.5,2,35,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,1,1970,1.215,2.2448979591836733
28,135,Zarembka1970,Zarembka (1970),28,0.836,0.163,,0,1.0,0.0,1,0,0,36.0,1957.5,2,18,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,1,1970,1.215,2.2448979591836733
29,135,Zarembka1970,Zarembka (1970),29,0.88,0.187,,0,1.0,0.0,1,0,0,34.0,1957.5,2,17,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,1,1970,1.215,2.2448979591836733
30,135,Zarembka1970,Zarembka (1970),30,1.084,0.114,,0,1.0,0.0,1,0,0,34.0,1957.5,2,17,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,1,1970,1.215,2.2448979591836733
31,135,Zarembka1970,Zarembka (1970),31,0.769,0.255,,0,1.0,0.0,1,0,0,54.0,1957.5,2,27,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,1,1970,1.215,2.2448979591836733
32,135,Zarembka1970,Zarembka (1970),32,1.109,0.242,,0,1.0,0.0,1,0,0,62.0,1957.5,2,31,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,1,1970,1.215,2.2448979591836733
33,135,Zarembka1970,Zarembka (1970),33,1.004,0.415,,0,1.0,0.0,1,0,0,34.0,1957.5,2,17,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,1,1970,1.215,2.2448979591836733
34,135,Zarembka1970,Zarembka (1970),34,0.695,0.222,,0,1.0,0.0,1,0,0,48.0,1957.5,2,24,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,1,1970,1.215,2.2448979591836733
35,135,Zarembka1970,Zarembka (1970),35,1.434,0.25,,0,1.0,0.0,1,0,0,54.0,1957.5,2,27,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,1,1970,1.215,2.2448979591836733
36,135,Zarembka1970,Zarembka (1970),36,0.626,0.129,,0,1.0,0.0,1,0,0,62.0,1957.5,2,31,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,1,1970,1.215,2.2448979591836733
37,135,Zarembka1970,Zarembka (1970),37,1.22,0.26,,0,1.0,0.0,1,0,0,56.0,1957.5,2,28,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,1,1970,1.215,2.2448979591836733
38,135,Zarembka1970,Zarembka (1970),38,0.377,0.214,,0,1.0,0.0,1,0,0,42.0,1957.5,2,21,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,1,1970,1.215,2.2448979591836733
39,135,Zarembka1970,Zarembka (1970),39,1.456,0.324,,0,1.0,0.0,1,0,0,54.0,1957.5,2,27,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1,1,1970,1.215,2.2448979591836733
40,134,Young2013,Young (2013),1,0.35,0.0857142857142857,,0,0.0,0.0,0,1,0,46.0,1982.5,46,1,1,0,0,1,0,0,US,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1.0,1,1,0,2013,0.32,6.888888888888889
41,134,Young2013,Young (2013),2,0.279,0.07448979591836735,,0,0.0,0.0,0,1,0,46.0,1982.5,46,1,1,0,0,1,0,0,US,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1.0,1,1,0,2013,0.32,6.888888888888889
42,134,Young2013,Young (2013),3,0.282,0.07346938775510202,,0,0.0,0.0,0,1,0,46.0,1982.5,46,1,1,0,0,1,0,0,US,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1.0,1,1,0,2013,0.32,6.888888888888889
43,134,Young2013,Young (2013),4,0.177,0.04081632653061224,,0,1.0,0.0,0,1,0,46.0,1982.5,46,1,1,0,0,1,0,0,US,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1.0,1,1,0,2013,0.32,6.888888888888889
44,134,Young2013,Young (2013),5,1.088,0.08673469387755105,,0,-1.0,0.0,0,1,0,46.0,1982.5,46,1,1,0,0,1,0,0,US,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1.0,1,1,0,2013,0.32,6.888888888888889
45,134,Young2013,Young (2013),6,1.364,0.04183673469387759,,0,-1.0,0.0,0,1,0,46.0,1982.5,46,1,1,0,0,1,0,0,US,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1.0,1,1,0,2013,0.32,6.888888888888889
46,134,Young2013,Young (2013),7,0.821,0.07346938775510199,,0,-1.0,0.0,0,1,0,46.0,1982.5,46,1,1,0,0,1,0,0,US,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1.0,1,1,0,2013,0.32,6.888888888888889
47,134,Young2013,Young (2013),8,0.206,0.07959183673469386,,0,0.0,0.0,0,1,0,46.0,1982.5,46,1,1,0,0,1,0,0,US,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1.0,1,1,0,2013,0.32,6.888888888888889
