label,country,studyid,estimateid,numberofestimates,invnoest,publicationyear,published,numberofcitations,numberofyears,citations,impact,incomeelasticity,tvalue,standarderror,inverseofstandarderror,longrun,average,marginal,otherprice,differencevariable,discretecontinuous,decreasing,increasing,flat,notavailable,firstyearofdependentvariable,lastyearofdependentvariable,midyear,daily,monthly,quarterly,annual,crosssection,timeseries,paneldata,householddata,aggregatedata,lagged,evaporation,householdsize,populationdensity,temperature,rainfall,ovb,iv,paneltechnique,otherestimator,developed,us,europe,otherlocation,reference
Darr et al. (1975),Other,4,4,8,0.125,1975,1,25,41,0.6097561,0.007,0.3407,5.5761047,0.0611,16.366612,0,0,0,1,0,0,0,0,0,1,1970,1971,1970.5,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,"Darr, P., S. L. Feldman, & C. S. Kamen (1975): ""Socioeconomic factors affecting domestic water demand in Israel."" Water Resources Research 11(6): pp. 805--809."
Darr et al. (1975),Other,4,5,8,0.125,1975,1,25,41,0.6097561,0.007,0.2735,2.7241036,0.1004,9.9601594,0,0,0,1,0,0,0,0,0,1,1970,1971,1970.5,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,"Darr, P., S. L. Feldman, & C. S. Kamen (1975): ""Socioeconomic factors affecting domestic water demand in Israel."" Water Resources Research 11(6): pp. 805--809."
Darr et al. (1975),Other,4,6,8,0.125,1975,1,25,41,0.6097561,0.007,0.5818,3.8606503,0.1507,6.6357001,0,0,0,1,0,0,0,0,0,1,1970,1971,1970.5,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,"Darr, P., S. L. Feldman, & C. S. Kamen (1975): ""Socioeconomic factors affecting domestic water demand in Israel."" Water Resources Research 11(6): pp. 805--809."
Darr et al. (1975),Other,4,7,8,0.125,1975,1,25,41,0.6097561,0.007,0.2209,4.5359343,0.0487,20.533881,0,0,0,1,0,0,0,0,0,1,1970,1971,1970.5,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,"Darr, P., S. L. Feldman, & C. S. Kamen (1975): ""Socioeconomic factors affecting domestic water demand in Israel."" Water Resources Research 11(6): pp. 805--809."
Darr et al. (1975),Other,4,8,8,0.125,1975,1,25,41,0.6097561,0.007,0.3075,4.9837925,0.0617,16.207455,0,0,0,1,0,0,0,0,0,1,1970,1971,1970.5,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,"Darr, P., S. L. Feldman, & C. S. Kamen (1975): ""Socioeconomic factors affecting domestic water demand in Israel."" Water Resources Research 11(6): pp. 805--809."
Agthe & Billings (1980),US,5,1,3,0.3333333333333333,1980,1,120,36,3.3333333,0.007,0.42,1.89,0.22222,4.500045,1,0,1,0,1,0,0,1,0,0,1974,1977,1975.5,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,"Agthe, D. E. & R. B. Billings (1980): ""Dynamic models of residential water demand."" Water Resources Research 16(3): pp. 476--480."
Agthe & Billings (1980),US,5,2,3,0.3333333333333333,1980,1,120,36,3.3333333,0.007,0.02,1.08,0.01852,53.99568,0,0,1,0,1,0,0,1,0,0,1974,1977,1975.5,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,"Agthe, D. E. & R. B. Billings (1980): ""Dynamic models of residential water demand."" Water Resources Research 16(3): pp. 476--480."
Agthe & Billings (1980),US,5,3,3,0.3333333333333333,1980,1,120,36,3.3333333,0.007,0.2,0.9,0.22222,4.500045,1,0,1,0,1,0,0,1,0,0,1974,1977,1975.5,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,"Agthe, D. E. & R. B. Billings (1980): ""Dynamic models of residential water demand."" Water Resources Research 16(3): pp. 476--480."
Nieswiadomy (1992),US,6,1,7,0.14285714285714285,1992,1,249,24,10.375,0.007,2.14,2.4,0.89167,1.1214911,0,0,1,0,0,0,0,0,0,1,1984,1984,1984.0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,"Nieswiadomy, M. L. (1992): ""Estimating urban residential water demand: effects of price structure, conservation, and education."" Water Resources Research 28(3): pp. 609--615."
Nieswiadomy (1992),US,6,2,7,0.14285714285714285,1992,1,249,24,10.375,0.007,0.6274,7.27,0.0863,11.587486,0,0,1,0,0,0,0,0,0,1,1984,1984,1984.0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,"Nieswiadomy, M. L. (1992): ""Estimating urban residential water demand: effects of price structure, conservation, and education."" Water Resources Research 28(3): pp. 609--615."
Nieswiadomy (1992),US,6,3,7,0.14285714285714285,1992,1,249,24,10.375,0.007,0.6274,7.27,0.0863,11.587486,0,0,1,0,0,0,0,0,0,1,1984,1984,1984.0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,"Nieswiadomy, M. L. (1992): ""Estimating urban residential water demand: effects of price structure, conservation, and education."" Water Resources Research 28(3): pp. 609--615."
Nieswiadomy (1992),US,6,4,7,0.14285714285714285,1992,1,249,24,10.375,0.007,0.6274,7.27,0.0863,11.587486,0,0,1,0,0,0,0,0,0,1,1984,1984,1984.0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,"Nieswiadomy, M. L. (1992): ""Estimating urban residential water demand: effects of price structure, conservation, and education."" Water Resources Research 28(3): pp. 609--615."
Nieswiadomy (1992),US,6,5,7,0.14285714285714285,1992,1,249,24,10.375,0.007,0.6274,7.27,0.0863,11.587486,0,1,0,0,0,0,0,0,0,1,1984,1984,1984.0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,"Nieswiadomy, M. L. (1992): ""Estimating urban residential water demand: effects of price structure, conservation, and education."" Water Resources Research 28(3): pp. 609--615."
Nieswiadomy (1992),US,6,6,7,0.14285714285714285,1992,1,249,24,10.375,0.007,0.6274,7.27,0.0863,11.587486,0,1,0,0,0,0,0,0,0,1,1984,1984,1984.0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,"Nieswiadomy, M. L. (1992): ""Estimating urban residential water demand: effects of price structure, conservation, and education."" Water Resources Research 28(3): pp. 609--615."
Nieswiadomy (1992),US,6,7,7,0.14285714285714285,1992,1,249,24,10.375,0.007,0.6274,7.27,0.0863,11.587486,0,1,0,0,0,0,0,0,0,1,1984,1984,1984.0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,"Nieswiadomy, M. L. (1992): ""Estimating urban residential water demand: effects of price structure, conservation, and education."" Water Resources Research 28(3): pp. 609--615."
Lyman (1992),US,7,1,2,0.5,1992,1,160,24,6.6666667,0.007,0.211,2.42,0.08719,11.469205,1,0,1,0,0,0,0,0,0,1,1983,1987,1985.0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,"Lyman, R. A. (1992): ""Peak and off-peak residential water demand."" Water Resources Research 28(9): pp. 2159--2167."
Lyman (1992),US,7,2,2,0.5,1992,1,160,24,6.6666667,0.007,0.022,0.17,0.12941,7.7273781,0,0,1,0,0,0,0,0,0,1,1983,1987,1985.0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,"Lyman, R. A. (1992): ""Peak and off-peak residential water demand."" Water Resources Research 28(9): pp. 2159--2167."
Billings & Agthe (1980),US,8,1,1,1.0,1980,1,311,36,8.6388889,0.13,0.06,0.54,0.11111,9.00009,0,0,1,0,1,0,0,1,0,0,1974,1977,1975.5,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,"Billings, R. B. & D. E. Agthe (1980): ""Price elasticities for water: a case of increasing block rates."" Land Economics 56(1): pp. 73--84."
Foster & Beattie (1981),US,9,1,2,0.5,1981,1,120,35,3.4285714,0.13,0.01,0.08,0.125,8.0,0,0,1,0,1,0,0,1,0,0,1960,1960,1960.0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,"Foster, H. S. & B. R. Beattie (1981): ""On the specification of price in studies of consumer demand under block price scheduling."" Land Economics 57(4): pp. 624--629."
Foster & Beattie (1981),US,9,2,2,0.5,1981,1,120,35,3.4285714,0.13,-0.012,-0.11,0.10909,9.1667431,0,1,0,0,0,0,0,1,0,0,1960,1960,1960.0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,"Foster, H. S. & B. R. Beattie (1981): ""On the specification of price in studies of consumer demand under block price scheduling."" Land Economics 57(4): pp. 624--629."
Billings (1982),US,10,1,1,1.0,1982,1,110,34,3.2352941,0.13,0.314,5.6177924,0.05589,17.892288,0,0,1,0,1,0,0,1,0,0,1974,1977,1975.5,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,"Billings, R. B. (1982): ""Specification of block rate price variables in demand models."" Land Economics 58(3): pp. 386--394."
Foster & Beattie (1979),US,11,1,6,0.16666666666666666,1979,1,234,37,6.3243243,0.13,0.352,4.9577465,0.071,14.084507,0,1,0,0,0,0,0,0,0,1,1960,1960,1960.0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,"Foster, H. S. & B. R. Beattie (1979): ""Urban residential demand for water in the United States."" Land Economics 55(1): pp. 43--58."
Foster & Beattie (1979),US,11,2,6,0.16666666666666666,1979,1,234,37,6.3243243,0.13,0.319,5.9316239,0.05378,18.594273,0,1,0,0,0,0,0,0,0,1,1960,1960,1960.0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,"Foster, H. S. & B. R. Beattie (1979): ""Urban residential demand for water in the United States."" Land Economics 55(1): pp. 43--58."
Foster & Beattie (1979),US,11,3,6,0.16666666666666666,1979,1,234,37,6.3243243,0.13,0.334,8.7548638,0.03815,26.21232,0,1,0,0,0,0,0,0,0,1,1960,1960,1960.0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,"Foster, H. S. & B. R. Beattie (1979): ""Urban residential demand for water in the United States."" Land Economics 55(1): pp. 43--58."
Foster & Beattie (1979),US,11,4,6,0.16666666666666666,1979,1,234,37,6.3243243,0.13,0.378,5.7272727,0.066,15.151515,0,1,0,0,0,0,0,0,0,1,1960,1960,1960.0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,"Foster, H. S. & B. R. Beattie (1979): ""Urban residential demand for water in the United States."" Land Economics 55(1): pp. 43--58."
Foster & Beattie (1979),US,11,5,6,0.16666666666666666,1979,1,234,37,6.3243243,0.13,0.326,7.8673835,0.04144,24.131274,0,1,0,0,0,0,0,0,0,1,1960,1960,1960.0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,"Foster, H. S. & B. R. Beattie (1979): ""Urban residential demand for water in the United States."" Land Economics 55(1): pp. 43--58."
Foster & Beattie (1979),US,11,6,6,0.16666666666666666,1979,1,234,37,6.3243243,0.13,1.07,3.5785953,0.299,3.3444816,0,1,0,0,0,0,0,0,0,1,1960,1960,1960.0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,"Foster, H. S. & B. R. Beattie (1979): ""Urban residential demand for water in the United States."" Land Economics 55(1): pp. 43--58."
Hewitt (1993),US,12,1,6,0.16666666666666666,1993,0,26,23,1.1304348,0.0,0.662,3.0648148,0.216,4.6296296,0,0,1,0,1,1,0,1,0,0,1981,1985,1983.0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,"Hewitt, J. A. (1993): ""Watering Households: The Two-error Discrete-continous Choice Model of Residential Water Demand."" Dissertation. University of California, Berkeley."
Hewitt (1993),US,12,2,6,0.16666666666666666,1993,0,26,23,1.1304348,0.0,0.685,1.729798,0.396,2.5252525,0,0,1,0,1,1,0,1,0,0,1981,1985,1983.0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,"Hewitt, J. A. (1993): ""Watering Households: The Two-error Discrete-continous Choice Model of Residential Water Demand."" Dissertation. University of California, Berkeley."
Hewitt (1993),US,12,3,6,0.16666666666666666,1993,0,26,23,1.1304348,0.0,0.429,1.8815789,0.228,4.3859649,0,0,1,0,1,1,0,1,0,0,1981,1985,1983.0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,"Hewitt, J. A. (1993): ""Watering Households: The Two-error Discrete-continous Choice Model of Residential Water Demand."" Dissertation. University of California, Berkeley."
Hewitt (1993),US,12,4,6,0.16666666666666666,1993,0,26,23,1.1304348,0.0,1.45,4.7385621,0.306,3.2679739,0,0,1,0,1,1,0,1,0,0,1981,1985,1983.0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,"Hewitt, J. A. (1993): ""Watering Households: The Two-error Discrete-continous Choice Model of Residential Water Demand."" Dissertation. University of California, Berkeley."
Hewitt (1993),US,12,5,6,0.16666666666666666,1993,0,26,23,1.1304348,0.0,0.447,1.8024194,0.248,4.0322581,0,0,1,0,1,1,0,1,0,0,1981,1985,1983.0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,"Hewitt, J. A. (1993): ""Watering Households: The Two-error Discrete-continous Choice Model of Residential Water Demand."" Dissertation. University of California, Berkeley."
Hewitt (1993),US,12,6,6,0.16666666666666666,1993,0,26,23,1.1304348,0.0,0.783,3.2355372,0.242,4.1322314,0,0,1,0,1,1,0,1,0,0,1981,1985,1983.0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,"Hewitt, J. A. (1993): ""Watering Households: The Two-error Discrete-continous Choice Model of Residential Water Demand."" Dissertation. University of California, Berkeley."
Al-Qunaibet & Johnston (1985),Other,13,1,1,1.0,1985,1,59,31,1.9032258,0.007,0.395,3.989899,0.099,10.10101,0,0,0,1,0,0,0,0,1,0,1973,1981,1977.0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,"Al-Qunaibet, M. H. & R. S. Johnston (1985): ""Municipal demand for water in Kuwait: methodological issues and empirical results."" Water Resources Research 21(4): pp. 433--438."
Rietveld et al. (1997),Other,14,1,1,1.0,1997,0,5,18,0.27777778,0.0,0.051,0.62,0.08226,12.156577,0,0,1,0,1,1,0,1,0,0,1994,1994,1994.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,"Rietveld, P., J. Rouwendal, & B. Zwart (1997): ""Estimating Water Demand in Urban Indonesia: A Maximum Likelihood Approach to block Rate Pricing Data."" Discussion Paper 97-072/3, Tinbergen Institute."
Williams & Suh (1986),US,15,1,5,0.2,1986,1,96,30,3.2,0.094,0.192,0.87,0.22069,4.5312429,0,1,0,0,0,0,0,0,0,1,1976,1976,1976.0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,"Williams, M. & B. Suh (1986): ""The demand for urban water by customer class."" Applied Economics 18(12): pp. 1275--1289."
Williams & Suh (1986),US,15,2,5,0.2,1986,1,96,30,3.2,0.094,0.147,0.64,0.22969,4.3536941,0,0,1,0,0,0,0,0,0,1,1976,1976,1976.0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,"Williams, M. & B. Suh (1986): ""The demand for urban water by customer class."" Applied Economics 18(12): pp. 1275--1289."
Williams & Suh (1986),US,15,3,5,0.2,1986,1,96,30,3.2,0.094,0.109,0.56,0.19464,5.1376901,0,1,0,0,0,0,0,0,0,1,1976,1976,1976.0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,"Williams, M. & B. Suh (1986): ""The demand for urban water by customer class."" Applied Economics 18(12): pp. 1275--1289."
Williams & Suh (1986),US,15,4,5,0.2,1986,1,96,30,3.2,0.094,0.037,0.13,0.28462,3.5134565,0,1,0,0,0,0,0,0,0,1,1976,1976,1976.0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,"Williams, M. & B. Suh (1986): ""The demand for urban water by customer class."" Applied Economics 18(12): pp. 1275--1289."
Williams & Suh (1986),US,15,5,5,0.2,1986,1,96,30,3.2,0.094,0.02,0.08,0.25,4.0,0,1,0,0,0,0,0,0,0,1,1976,1976,1976.0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,"Williams, M. & B. Suh (1986): ""The demand for urban water by customer class."" Applied Economics 18(12): pp. 1275--1289."
Williams (1985),US,16,1,18,0.05555555555555555,1985,1,24,31,0.77419355,0.609,0.105,0.4,0.2625,3.8095238,0,0,1,0,0,0,0,0,0,1,1970,1970,1970.0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,"Williams, M. (1985): ""Estimating urban residential demand for water under alternative price measures."" Journal of Urban Economics 18(2): pp. 213--225."
Williams (1985),US,16,2,18,0.05555555555555555,1985,1,24,31,0.77419355,0.609,0.67,1.32,0.50758,1.9701328,0,1,0,0,0,0,0,0,0,1,1970,1970,1970.0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,"Williams, M. (1985): ""Estimating urban residential demand for water under alternative price measures."" Journal of Urban Economics 18(2): pp. 213--225."
Williams (1985),US,16,3,18,0.05555555555555555,1985,1,24,31,0.77419355,0.609,0.63,1.42,0.44366,2.2539783,0,1,0,0,0,0,0,0,0,1,1970,1970,1970.0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,"Williams, M. (1985): ""Estimating urban residential demand for water under alternative price measures."" Journal of Urban Economics 18(2): pp. 213--225."
Williams (1985),US,16,4,18,0.05555555555555555,1985,1,24,31,0.77419355,0.609,-0.27,-0.86,0.31395,3.1852206,0,1,0,0,0,0,0,0,0,1,1970,1970,1970.0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,"Williams, M. (1985): ""Estimating urban residential demand for water under alternative price measures."" Journal of Urban Economics 18(2): pp. 213--225."
Williams (1985),US,16,5,18,0.05555555555555555,1985,1,24,31,0.77419355,0.609,-0.45,-1.62,0.27778,3.5999712,0,1,0,0,0,0,0,0,0,1,1970,1970,1970.0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,"Williams, M. (1985): ""Estimating urban residential demand for water under alternative price measures."" Journal of Urban Economics 18(2): pp. 213--225."
Williams (1985),US,16,6,18,0.05555555555555555,1985,1,24,31,0.77419355,0.609,0.64,1.75,0.36571,2.734407,0,0,1,0,0,0,0,0,0,1,1970,1970,1970.0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,"Williams, M. (1985): ""Estimating urban residential demand for water under alternative price measures."" Journal of Urban Economics 18(2): pp. 213--225."
Williams (1985),US,16,7,18,0.05555555555555555,1985,1,24,31,0.77419355,0.609,0.57,1.82,0.31319,3.19295,0,1,0,0,0,0,0,0,0,1,1970,1970,1970.0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,"Williams, M. (1985): ""Estimating urban residential demand for water under alternative price measures."" Journal of Urban Economics 18(2): pp. 213--225."
Williams (1985),US,16,8,18,0.05555555555555555,1985,1,24,31,0.77419355,0.609,-0.06,-0.2,0.3,3.3333333,0,1,0,0,0,0,0,0,0,1,1970,1970,1970.0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,"Williams, M. (1985): ""Estimating urban residential demand for water under alternative price measures."" Journal of Urban Economics 18(2): pp. 213--225."
Williams (1985),US,16,9,18,0.05555555555555555,1985,1,24,31,0.77419355,0.609,-0.22,-0.8,0.275,3.6363636,0,1,0,0,0,0,0,0,0,1,1970,1970,1970.0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,"Williams, M. (1985): ""Estimating urban residential demand for water under alternative price measures."" Journal of Urban Economics 18(2): pp. 213--225."
Williams (1985),US,16,10,18,0.05555555555555555,1985,1,24,31,0.77419355,0.609,0.64,1.69,0.3787,2.6406126,0,1,0,0,0,0,0,0,0,1,1970,1970,1970.0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,"Williams, M. (1985): ""Estimating urban residential demand for water under alternative price measures."" Journal of Urban Economics 18(2): pp. 213--225."
Williams (1985),US,16,11,18,0.05555555555555555,1985,1,24,31,0.77419355,0.609,0.57,1.81,0.31492,3.1754096,0,0,1,0,0,0,0,0,0,1,1970,1970,1970.0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,"Williams, M. (1985): ""Estimating urban residential demand for water under alternative price measures."" Journal of Urban Economics 18(2): pp. 213--225."
Williams (1985),US,16,12,18,0.05555555555555555,1985,1,24,31,0.77419355,0.609,-0.16,-0.53,0.30189,3.3124648,0,1,0,0,0,0,0,0,0,1,1970,1970,1970.0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,"Williams, M. (1985): ""Estimating urban residential demand for water under alternative price measures."" Journal of Urban Economics 18(2): pp. 213--225."
Williams (1985),US,16,13,18,0.05555555555555555,1985,1,24,31,0.77419355,0.609,-0.35,-1.31,0.26718,3.7427951,0,1,0,0,0,0,0,0,0,1,1970,1970,1970.0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,"Williams, M. (1985): ""Estimating urban residential demand for water under alternative price measures."" Journal of Urban Economics 18(2): pp. 213--225."
