effect,se,n_obs,study_id
0.1047,0.0421837228041901,266,12
0.24,0.0726,646,13
0.19,0.0657,646,13
0.187,0.0678,646,13
0.24,0.0613,646,13
0.096,0.009142857142857,49974,14
0.067,0.007639680729761,49974,14
0.28,0.0144,49974,14
0.191,0.0243,49974,14
0.099,0.0114,49974,14
0.028,0.0182,49974,14
0.064,0.0098613251155624,25920,14
0.028,0.0087499999999999,25920,14
0.094,0.0091796875,49974,14
0.081,0.0094,49974,14
0.171,0.0246,49974,14
0.063,0.0075812274368231,49974,14
0.041,0.0075,49974,14
0.149,0.0207,49974,14
0.105,0.011437908496732,33374,14
0.214,0.013250773993808,34639,14
0.042,0.0088983050847457,20928,14
0.111,0.0163958641063515,20526,14
0.047,0.0100213219616204,22301,14
0.114,0.013103448275862,22606,14
0.121,0.010576923076923,36411,14
0.062,0.0280542986425339,5836,14
0.033,0.020625,7726,14
0.021,0.0031010041346721,48564,15
0.021,0.0031028368794326,48564,15
0.049,0.0028387694803313,48564,15
0.036,0.0021781219748305,48564,15
0.043,0.0035672805707648,21294,15
0.036,0.0043726466658569,11412,15
0.022,0.0034018865006958,15858,15
0.061,0.0657327586206896,13260,15
0.337,0.4884057971014493,8088,15
0.08,0.1746724890829694,7506,15
0.104,0.4031007751937984,3906,15
0.038,0.0464547677261613,10134,15
0.046,0.08984375,5724,15
0.041,0.001682672576541,21126,15
0.054,0.0010685874856532,27438,15
0.029,0.0042138913106655,5496,15
0.049,0.0021418892337281,12006,15
0.054,0.0011493029690326,31062,15
0.057,0.0047891110737691,7926,15
0.045,0.0013489208633093,40638,15
0.089,0.003,48563,16
0.087,0.003,48563,16
0.079,0.003,48563,16
-0.065,0.004,30845,16
0.108,0.005,17718,16
0.062,0.004,30845,16
0.1,0.004,17718,16
1.41678,0.1102107,48563,16
1.8005,0.123858,48563,16
0.41596,0.06611068,30845,16
0.57352,0.09019329,17718,16
0.062,0.006,48563,16
0.083,0.003,48563,16
0.081,0.017,48563,16
0.5379,0.002687777,36764,17
0.0252,0.001548652,711,17
0.1659,0.001618966,13255,17
0.9319,0.006098995,9469,17
0.0935,0.001590065,2559,17
0.0206,0.000199053,10770,17
0.026,0.00481,25506,18
0.0435,0.01041,25506,18
0.0166,0.00523,25506,18
0.0637,0.01466,25506,18
0.0558,0.0102,25506,18
1.3759,0.5162827,25506,18
0.0178,0.00412,25506,18
0.0409,0.00947,25506,18
0.0105,0.00458,25506,18
0.0538,0.01331,25506,18
0.0399,0.00934,25506,18
0.7922,0.12,25506,18
0.0251,0.0048,25506,18
0.0427,0.01041,25506,18
0.0157,0.00522,25506,18
0.0624,0.01466,25506,18
0.0549,0.01019,25506,18
1.3576,0.51628,25506,18
0.0329,0.00369,46076,18
0.7169,0.16404,46076,18
0.0752,0.02,46076,18
0.0758,0.02,46076,18
0.07682,0.02,46076,18
0.07749,0.02,46076,18
0.0252,0.00407,46076,18
0.9152,0.22303,46076,18
0.0571,0.00813,46076,18
0.9842,0.2236721,46076,18
0.1594,0.0457,519,19
0.1688,0.035,1018,20
0.3399,0.2274,841,20
0.028,0.016,184,21
0.025,0.015,151,21
2.9,1.519,89,21
0.152,0.272,234,22
0.17,0.262,234,22
0.147,0.267,234,22
0.17,0.27,234,22
0.14,0.269,234,22
0.17,0.266,234,22
0.144,0.267,234,22
1.444,0.996,188,22
1.185,0.36,188,22
0.102,0.142,234,22
0.081,0.145,217,22
0.27,0.046,409,23
0.038,0.074,409,23
0.042,0.075,409,23
0.04,0.075,409,23
0.043,0.076,409,23
0.037,0.075,409,23
0.044,0.076,409,23
0.036,0.075,409,23
0.097,0.0109852774631936,1265,24
0.0974,0.0441,424,25
0.1487,0.0233,530,25
0.201,0.05157205599,2289,26
0.037,0.009493363541,2289,26
0.049,0.01106822275,2289,26
0.048,0.01456848878,2289,26
0.19,0.03,14484,27
0.14,0.03,14484,27
0.24,0.05,14484,27
0.18,0.02,14484,27
0.13,0.03,14484,27
0.23,0.05,14484,27
0.13,0.03,10600,27
0.23,0.05,10600,27
0.12,0.03,10340,27
0.21,0.05,10340,27
0.166,0.089,406,28
0.142,0.161,406,28
0.173,0.197,406,28
0.167,0.245,153,28
0.29,0.202,253,28
0.0767,0.072,405,29
0.1775,0.044,405,29
0.03658,0.0124,3236,30
0.02272,0.02485,3236,30
0.01209,0.04901,3236,30
-0.031,0.011689,3236,30
-0.001,0.0004,3236,30
-0.007,0.002127,3236,30
0.005,0.001781,3236,30
0.291,0.198674,3236,30
0.084,0.0199430199430199,7951,31
0.202,0.0331854772465911,7951,31
-0.308,0.1902408894379246,7951,31
-0.078,0.093,215,32
-0.21,0.045,215,32
0.211604,0.104755,2400,33
0.15704,0.027993,2400,33
0.023921,0.011578,3236,34
0.02123,0.02118,3236,34
0.045067,0.030297,3236,34
0.023502,0.011701,3236,34
0.431849,0.251849,3236,34
1.286738,0.320874,3016,35
0.173,0.0611307420494699,451,36
0.151,0.0634453781512605,451,36
0.149,0.0626050420168067,451,36
0.147,0.0335616438356164,356,36
0.186,0.04,356,36
0.13,0.0437710437710437,303,37
0.448,0.069,180,38
0.262,0.1190909090909091,1492,39
0.223,0.048,715,40
0.212,0.048,715,40
0.201,0.049,715,40
0.212,0.049,715,40
0.199,0.05,715,40
0.213,0.049,715,40
0.199,0.05,715,40
0.268,0.056,715,40
0.134,0.083,715,40
0.221,0.157,715,40
0.209,0.05,627,40
0.145,0.058,627,40
0.677,0.09,627,40
0.183,0.139,627,40
-2.7988,0.635,627,40
0.224,0.051,640,40
0.214,0.051,640,40
0.285,0.058,640,40
0.12,0.1096,640,40
0.244,0.177,640,40
0.8747,0.1930905077262693,300,41
0.7585,0.2038978494623656,300,41
0.8721,0.3928378378378378,130,41
1.0637,0.3706271777003485,130,41
0.8668,0.2234020618556701,170,41
0.7464,0.23325,170,41
0.7501,0.2066391184573003,300,41
1.344,0.2890322580645161,130,41
0.7843,0.2279941860465116,170,41
1.3989,0.2189201877934273,300,41
1.211,0.3004962779156328,130,41
1.4191,0.3032264957264957,170,41
-0.157,0.0801020408163265,3860,42
0.0767,0.0181753554502369,1750,43
0.0545,0.0103809523809523,1750,43
0.0505,0.0130490956072351,1173,43
0.157,0.003,1501,44
0.163,0.001,1501,44
0.11,0.024,1501,44
0.173,0.005,1501,44
0.187,0.007,1501,44
0.178,0.003,1501,44
0.164,0.016,1501,44
0.131,0.002,1501,44
0.064,0.006,1501,44
0.04,0.006,1501,44
0.167,0.0004,492,44
0.143,0.001,492,44
0.134,0.0004,492,44
0.106,0.003,492,44
0.091,0.003,492,44
0.079,0.004,492,44
0.162,0.002,492,44
0.239,0.004,492,44
0.151,0.002,492,44
0.103,0.001,492,44
0.161,0.053,1366,44
0.151,0.064,449,44
0.000956,0.003954,366,45
0.261,0.047,504,46
0.353,0.058,504,46
0.224,0.066,504,46
0.229,0.0117,9778,47
0.228884,0.04735189,9778,47
0.019,0.042,2475,48
0.148,0.0932577189666036,165,49
0.301,0.069,1083,50
1.023025,0.2314186,1083,50
0.36139,0.1628793,1083,50
-0.153,0.0421,297,51
0.1903,0.0279032258064516,729,52
0.1939,0.0161853088480801,96,52
0.49597,0.152138036809816,460,53
0.1677,0.0695850622406639,460,53
0.696,0.1458892,234,54
0.3865,0.1971938775510204,854,55
0.123562,0.012356,5748,56
0.091642,0.012356,5748,56
0.078256,0.013386,5748,56
0.123562,0.013397,5748,56
0.091642,0.013659,5748,56
0.078256,0.013659,5748,56
3.20952,1.117206,5748,56
0.613691,0.085464,5748,56
0.177,0.0184252,976,57
0.160804,0.051031,1648,58
0.101183,0.037063,1648,58
0.178702,0.088104,1506,58
0.077282,0.031429,1334,58
0.169299,0.082801,813,58
0.148816,0.061494,835,58
2.73,0.3261648745519714,594,59
0.337532,0.13947,594,59
0.223,0.0631728045325779,700,60
0.22162,0.09273107,700,60
0.916,0.3933577778538965,178,61
0.985,0.2412257052753627,178,61
0.856,0.3983588438215457,178,61
0.95,0.2839191949872909,178,61
0.723,0.2848484921692856,178,61
0.734,0.2779195943773945,178,61
0.924,0.3498606337938863,178,61
0.67,0.2497845136021652,178,61
0.674,0.2423456528140094,178,61
1.006,0.3207245915898917,178,61
0.712,0.2504881499760741,178,61
0.916,0.3933577778538965,178,61
0.882,0.430602962585195,178,61
0.884,0.2310432050107207,178,61
0.139,0.046,17318,62
0.183,0.0212,52143,62
0.414,0.1818314984199671,176,63
2.555,17.64518,224,63
-0.016,0.0296296296296296,2002,64
0.549,0.291,863,65
0.2754617,0.076254870023018,2265,66
0.2985409,0.1643183,2265,66
0.2746869,0.1580354,1749,66
0.2652625,0.1906256,1749,66
0.2078961,0.0468973037832387,1435,66
0.1740541,0.169639,1435,66
0.1558961,0.1925564,1133,66
0.1449532,0.2321227,1133,66
0.1806813,0.04644,8535,67
0.1756407,0.123901,8535,67
0.1822968,0.126886,7602,67
0.1740289,0.096895,7602,67
0.2155394,0.0554,646,67
0.3866961,0.193161,646,67
0.3804602,0.159071,512,67
0.4492738,0.230903,512,67
0.1759416,0.198263,7602,67
0.1688952,0.194923,7602,67
0.3672646,0.679178,512,67
0.4453569,0.791038,512,67
0.114,0.035,892,68
0.163,0.033,892,68
0.157,0.032,892,68
0.139,0.036,669,68
0.1198,0.0308762886597938,425,69
0.0633,0.0067268862911795,365,69
0.215,0.0545195212,300,70
0.246,0.0743493893012719,538,71
0.246,0.0743493893012719,538,71
0.327,0.0255,1858,72
0.327,0.0255,1858,72
0.271,0.0288,1858,72
0.327,0.0254,1858,72
0.233,0.0596907469576723,1224,73
0.013,0.0214187458999171,1224,73
0.016,0.0105585254716937,989,73
0.077,0.0364710377022209,989,73
0.112,0.0192439862542955,2288,74
-0.026,0.0265306122448979,2288,74
0.036,0.0120805369127516,444,75
0.084,0.009438202247191,313,75
0.051,0.0107822410147991,288,75
0.37528,0.1179,467,76
0.31945,0.08537,467,76
0.197,0.0142,1392,77
-0.047,0.0297,1750,78
0.063,0.034645,1265,79
0.11,0.037065,690,79
0.0442,0.0272521479472896,1820,80
0.0539,0.0576,805,81
0.112,0.039,794,81
0.0507,0.0585,792,81
0.112,0.0391,776,81
0.0408,0.06,763,81
0.132,0.0404,750,81
0.0575,0.0555,685,81
0.13,0.0459,685,81
0.0692,0.0544,832,81
0.111,0.0391,801,81
0.5326,0.1171,96,82
0.5589125,0.1970055,96,82
0.3428086,0.0508265,1411,83
0.3623948,0.0507431,1411,83
0.3336399,0.0513208,1320,83
0.324623,0.043588,954,84
0.2041697,0.0526146,566,84
0.226,0.0561779583131791,594,85
0.154,0.0553283817848245,484,85
0.147,0.057762926002596,557,85
0.124,0.0541587011734579,484,85
0.333,0.021,4312,86
0.236,0.001,11462,87
0.238,0.002,11462,87
0.1653,0.074,335,88
-0.105,0.0576923076923076,1025,89
0.265,0.06747909325,433,90
0.306,0.023,2081,91
0.253,0.023,2081,91
0.107,0.025,2081,91
0.041,0.038,1374,91
0.69192,0.14894,149,92
0.6777649,0.2076789,149,92
0.56312,0.13868,149,92
0.558749,0.1987701,149,92
0.23979,0.13926,118,92
0.3259581,0.147789,118,92
0.94188,0.10433,149,92
0.9387252,0.2159437,149,92
0.083,0.414,257,93
0.17,0.011,11979,94
0.197372,0.01901055,11979,94
1.23158,0.2121579,9842,94
0.297122,0.081966,774,95
0.046272,0.051024,774,95
1.87,0.18,5087,96
1.87,0.178,5087,96
0.32,0.0364464692482915,920,97
0.32,0.0313111545988258,920,97
0.33,0.022964509394572,2638,98
0.35,0.0346191889218595,833,98
0.28,0.0295670538542766,1805,98
0.42,0.0459518599562363,1059,98
0.28,0.0272904483430799,1579,98
0.22,0.0278128950695322,2010,98
0.023,0.011,6560,99
0.034,0.01,6560,99
0.023,0.009,6560,99
0.024,0.011,6560,99
0.024,0.011,6561,99
0.024,0.011,6560,99
0.029,0.011,6560,99
0.083,0.019,6560,99
0.017,0.012,4915,99
0.03,0.012,4915,99
0.018,0.011,4915,99
0.015,0.014,2304,99
0.0522,0.021,2532,99
0.011,0.025,1724,99
0.056,0.018,2823,99
0.004,0.014,3737,99
0.026,0.014,3362,99
0.018,0.016,3199,99
0.028,0.012,5280,99
0.021,0.012,3963,99
0.62105,0.0873,224,100
0.3959,0.07547,224,100
0.74658,0.20359,224,100
0.44509,0.11177,224,100
0.47007,0.07382,224,100
0.38749,0.07731,224,100
0.52687,0.15035,224,100
0.46733,0.11915,224,100
0.254,0.0819817779418258,1019,101
0.299,0.1005077622765425,1019,101
0.271,0.0821187171529141,1019,101
0.4192,0.0594609929078014,438,102
0.202,0.0497536945812808,438,102
0.3885,0.1070247933884298,438,102
0.21184,0.0339487179487179,438,102
0.24637,0.0318307493540051,438,102
0.23129,0.0368296178343949,438,102
0.163,0.163,1375,103
0.273,0.023,2475,104
0.316,0.028,2200,104
0.316,0.028,2200,104
0.317,0.029,2200,104
0.279,0.1,216,104
0.344,0.113,192,104
0.318,0.031,1071,104
0.36,0.038,952,104
0.154,0.037,1071,104
0.182,0.045,952,104
0.46,0.095,117,104
0.671,0.104,104,104
0.221,0.035,1375,104
0.228,0.042,1100,104
0.263,0.032,1100,104
0.331,0.038,1100,104
0.066,0.0423076923076923,712,105
-0.106,0.2656641604010025,712,105
5.905,4.406716417910448,859,106
